,Tweet,User,createdTime,label
0,@younus7867 @Narendra_Varma_ @ChintalaShanti @KTRTRS For 1case no one gives call for emergency. Moreover WHO not given any call to any countries. Moreover if bjp thinks in that way they won't give permission for Musilm meeting in Delhi,b'GKanijam',2020-11-21 06:59:05,fire
1,"@ysjagan @AndhraPradesh  "" Tribal Ministry  Rebuilding the Community""   Anugrah Foundation provided relief to three  victim families of recent fire in our tribal mission feild  Mangavaram village , Andhra Pradesh. All Glory to God. @Anugrahofficial https://t.co/TyIDklDWXu",b'Anugrahofficial',2020-11-21 04:35:48,fire
2,"@GKanijam @Narendra_Varma_ @ChintalaShanti @KTRTRS It wasn't emergency, they did namaste trump in March where as the first +ve case was found in January. Stop defending incompetent bjp government",b'younus7867',2020-11-21 02:55:09,fire
3,@Narendra_Varma_ @ChintalaShanti @KTRTRS Saved crores by announcing lockdown. This is not aa function to check time and date and arrange. That's an emergency call decision has to take in seconds,b'GKanijam',2020-11-21 02:31:46,fire
4,@Vidyasagarrao_K @KTRTRS @RaoKavitha @trspartyonline @trsinnews Thousands buffelows eaten valchar one cyclone finish Hundreds of yagnayagas one split of bondugallu finish Playing with fire will fire the surrounding's @bandisanjay_bjp @KVishReddy @Eatala_Rajender @BJP4India @Swamy39 @Tejasvi_Surya @RahulGandhi https://t.co/oct8Konibm,b'CommonSenseIsN3',2020-11-21 01:37:30,fire
5,@TelanganaCMO @KTRTRS Hii sir A small request sir Please help my frnd's mom sir She is undergoing surgery called gangrene sir please sir🙏🙏🙏 Please help my frnd's mom its highly emergency sir🙏🙏🙏  https://t.co/PNafGdPN3o,b'GajjalaSrilatha',2020-11-20 19:17:52,fire
6,@stan_socialism @krishanKTRS @KTRTRS Its pending last 6years pls understand why we are on fire note,b'Balu64170968',2020-11-20 16:51:27,fire
7,@KTRTRS sir it's emergency please help him *Help Me To Raise Funds For My Treatment !*  Srinivas Matta wants to raise . *Read More:* https://t.co/K71gAsBMrR  *Donate Here:* https://t.co/P4VP4SJaWS  *Paytm Karo (Android Users Only):* https://t.co/j6o1flqLQz https://t.co/w9Zr6erXJl,b'suresh80916589',2020-11-20 14:28:36,fire
8,"@RojaSelvamaniRK @ysjagan Happy birthday... Fire brand... Roja madam,  have a great time always",b'raj_bunga',2020-11-20 13:59:39,fire
9,@SonuSood @ssrajamouli @megopichand @KTRTRS @offl_Lawrence kindly help . Emergency. https://t.co/h9YpdvRcR7,b'chundurusantos1',2020-11-20 13:42:10,fire
10,Looks like safety is just a joke for @HPGasIndia. My distributor has delivered a faulty gas cylinder 3 times in a row. This team there was a gas leak and when I call the emergency no.they dont answer. @PetroleumMin @PMOIndia @TelanganaCMO,b'desi_madonna',2020-11-20 09:15:56,fire
11,@KTRTRS @KTRoffice @TelanganaCMO Dear sir we kindly request you to impose night curfew ppl are taking it for granted &amp; di covid could spread like wild fire. Ppl will oppose but it would be life safer for many @sardesairajdeep ....kindly do the needful @letsfightcovid2,b'dundigallam',2020-11-19 17:20:13,fire
12,@trspartyonline @KTRTRS We don't want fire hyd or cool hyd or curfew free HYD We just want Flood Free #HYDERABAD   #GHMCElections2020 #GHMCElections,b'injamharshith',2020-11-19 14:58:35,fire
13,@prasadraparthy @rajreddy75 @KTRTRS The leaders and some of their followers want to lit fire between neighborhood and get benefitted from it. So please stop cursing your neighbors. We are not fighting against our fellow neighbor but we are fighting against those who want to heist on us.,b'ramprasad_g82',2020-11-19 14:41:31,fire
14,"@__charan__01 @SonuSood @KTRTRS sir emergency !!!... Yesterday my friend sister and his father were going on a road and suddenly there were hit by a car ,at the spot his father was died and remaining little sister was in the critical condition .So please help ,6 lakhs needed sir. https://t.co/CH85TuGDZk",b'PRANAY57883085',2020-11-19 10:45:03,fire
15,It's an Emergency  Plss Have a Look on it @ysjagan Sir &amp; @HariKrishnaCMO Sir  #YSJaganCares https://t.co/n5c84gTxKf,b'BharathRCKajal',2020-11-19 10:01:33,fire
16,It's an Emergency Plss Help Him 🙏🙏 @ysjagan @HariKrishnaCMO @ArogyaAndhra #YSJaganCares  @SonuSood https://t.co/AS7ofhJJha,b'BharathRCKajal',2020-11-19 09:57:55,fire
17,@rishibagree Defeat in Dubakka by poll &amp; fire brand state chief  @bandisanjay_bjp has RATtled @KTRTRS and his father now @INCIndia will be their official  partner,b'm9maru',2020-11-19 08:52:30,fire
18,"@KTRTRS Emergency Urgent required Blood Any Group 4r my Sathyavathi Aunty (Age-80) Basavatarakam Indo American Cancer Hospital Road No -10 BanjaraHills Hyderabad, if possible plz donate blood save human life Sir plz share this message as soon as &amp; possible plz cont- 9440346264.",b'05govind1',2020-11-19 07:35:58,fire
19,Want a thriving Hyderabad city?   Want to see the city of Hyderabad on fire?   City people need to think ..  #HyderabadWithTRS  #VoteForCar  @trspartyonline @KTRTRS @RaoKavitha https://t.co/TjSfqTZ1CM,b'zakkudada',2020-11-19 06:19:29,fire
20,Needed O-NVe blood for emergency in puttaparthi of ananthapur district.pls retreat @HanuNews @JogulambaV @anusuyakhasba @naralokesh @ysjagan @pnavdeep26 @mmkeeravaani @ssrajamouli @ntrtrust @IParitalaSriram Contact:9177414376 or dm your number,b'ShivaYendru',2020-11-19 05:39:26,fire
21,@Ramesh_6 @trsinnews @KTRTRS @trspartyonline But it's an emergency relief. Opposition parties support chesthe janaalaki relief andhedhi.,b'Saitharunm2',2020-11-19 03:02:29,fire
22,@marehansiddiqui @krishanKTRS @KTRTRS this should be on priority as an emergency,b'ShahidMohammad_',2020-11-18 17:41:00,fire
23,"Manusree was bursting crackers,unexpectedly her dress caught fire,and was taken to the nearest hospital.sir @KTRTRS @SonuSood @DrTamilisaiGuv  Almost 80% of her body is burned, now she in the ICU at OU As per the Hospital she needs Rs 15 lakhs for her treatment.@RaoKavitha https://t.co/qxj9OMbI82",b'Mohamme07789319',2020-11-18 16:24:01,fire
24,"Plz Use Facemask in All Public places Maintain Personal Hygiene, Hand wash Hygiene,  Any Emergency call 108 Telangana Fights Corona @TelanganaCMO @TelanganaDGP @drgsrao @KTRTRS @SmitaSabharwal https://t.co/OzUKsjROKg",b'KumarYadav108',2020-11-18 11:14:11,fire
25,@KTRTRS there is no development in fire department since long time ... there is not enough fire engines in telangana for emergency situations.. could you please arrange at least 1 or 2 fire engines for one mandal. https://t.co/Qx8FWHy7th,b'SaiKrishnaJ11',2020-11-18 07:15:06,fire
26,"@KTRTRS Sir,can we have this on roof top for emergency search &amp; rescue purpose, control of large scale public events,night surveillance and it will be helpful for ground support dial 100 vehicles in case of emergency. https://t.co/7RMtSX1GVc",b'Manudee31594193',2020-11-17 17:11:08,fire
27,"@KTRTRS @KTRoffice Sir My Brother Sirikonda Girish had  son today Morning but he had Complications needed to go for Arterial switch Surgery. baby boy is on the way to KIMS Hyderabad on Medical Emergency. My bro lost his job and he doesn't have any insurance or ESI, had  Arogyasri",b'vidyasagar92m',2020-11-17 16:55:43,fire
28,"@KTRTRS @trsharish @TelanganaCMO Good start for GHMC elections, reflects so well on the government.. Fire this vulgar animal who is a blot on the entire humanity not just police department @TelanganaDGP @TelanganaCOPs @SpNagarkurnool https://t.co/vmGnx0VdR6",b'UgraRoopasya',2020-11-17 16:39:26,fire
29,"Even 2day celebration is on. Rd 4 B Hills. Smoke, fire! Going since 12th. None bothered. Had lodged a complaint on 13th dialing 100. Response was asap but action nil! Menace to the atmosphere and stay animals. Sad @CPHydCity @KTRTRS @IndiaHSI @pfaindia @TelanganaPCB https://t.co/ZFRLZodcFN",b'AMS2909',2020-11-17 15:26:57,fire
30,"@KTRTRS It's An Emergency Sir Need 1.5lakhs for kidney operation for A 15days old baby from Telangana, Mahabubabad District,Mulkanoor Village, Doctors refers to Hyderabad for operation.But the baby parents was very poor.please save this little child sir... https://t.co/qbrBnKmf53",b'Sandeep05680084',2020-11-17 14:04:24,fire
31,"@KTRTRS Hello sir, NIMS PANJAGUTTA hospital no doctors available from last 4 days.. My frnd was admitted and he was in Emergency ward but till now treatment not at all started. They are shifting CORONA Positive Patients to Emergency Ward.. Pls Make necessary steps to resolve this Issue.",b'NainiSid',2020-11-17 12:40:03,fire
32,"Never before - in fact upon being asked to fire crackers from 8 to 10 pm during diwali I've heard sounds starting from 3 pm in the evening to night 2:15 am. None were stopped , no rules, NO MONITORING when are we going to realize the climate emergency  @KTRTRS #bancrackers",b'kai4animals',2020-11-17 10:40:34,fire
33,"@DrShylaja2012 @SreenivasC14 @somuveerraju @ysjagan @ncbn Veer Raju, it is about time you take Y Cheap Kanduva before BJP higher up fire you from the party.    @ysjagan   @somuveerraju",b'SunriseVoice',2020-11-17 02:59:57,fire
34,"@KTRTRS @KTRoffice Dear Sir,while I appreciate all your reforms that as a govt u r bringing in,What action u will take against @AbhishekLodha79 who cheated 754 families in Lodha Meridian and ran away, leaving us without parking,OC,fire NOC .list is huge Any comments sir??",b'gauravkumar263',2020-11-16 16:09:55,fire
35,@KTRTRS Please Help please Help Emergency https://t.co/ahxOdrlBBq,b'VIJAYKU59514588',2020-11-16 14:07:04,fire
36,"Un-Declared Emergency in Telangana: Media &amp; Press Under Censor. @TelanganaCMO muted Freedom of speech in the state. @revathitweets ji,  you will surely win the battle &amp; your fight will have a page in the history of journalism. https://t.co/e99qLFxtOc",b'MaheshKonagala',2020-11-16 14:01:29,fire
37,"@KTRTRS Good Evening sir, would like to present one project Titled called "" KCR SURAKSHA "" for every Telangana Household   Which will create feel good factor to all age groups as well we can connect everyone   Will cater Police, Medical, Fire...you name it,  We can provide https://t.co/OiaGZRnPN1",b'KMKTELANGANA',2020-11-16 13:23:39,fire
38,"@KTRTRS Every govt service and emergency service is now just at a click away..  Onclick an advanced technology that enables public to avail any service at just a finger tip.  ""You name it we serve it"" is the working principle of this device.  Works 24/7 and covers every govt service. https://t.co/FOpNRJRxnf",b'KMKTELANGANA',2020-11-16 13:18:43,fire
39,@asadowaisi @KTRTRS @KTRoffice. Kindly check the picture taken at Moghalpura Fire station. No one came since a week for cleaning this. @TOIHyderabad #hyderabad https://t.co/I0qU4Ax0f4,b'syedsiddiq227',2020-11-16 10:03:55,fire
