,Tweet,User,createdTime,label
0,"@The_Modi_Bhakt @KTRTRS Corona - Talk about Gujarat Death %, why were the borders not closed?  EVM - Every Vote Modi  Where is black money and 15 Lakh that was promised ? Hyd has seen the best progress in last 6 years ..what about India...Dear Sir talk about GDP, Petrol, Diesel, commodities price hike",b'RKIndian16',2020-11-21 05:43:51,economy
1,"@KTRTRS This has to be repeatedly advertised in news channels, social media and some 🔥 speaches by TRS workers...also do highlight the failures of central govt like petrol &amp; essential commodities price hike, 15 Lakh per person,GDP, EVM -Every Vote Modi etc Thank you for your leadership",b'RKIndian16',2020-11-21 05:34:39,economy
2,@KTRTRS Sir please help me with 40000 rupees for clear to my debts I'm in trouble sir kindly help me sir I'm doing job but small salary sir financial problems please help Ac:62209153711 IFSC code:20246 Thorrur branch  State Bank of India  Boorgula Anil,b'Anil89702453',2020-11-21 05:28:55,economy
3,Bangladesh GDP is more than Indias' GDP! @KTRTRS why don't you trace rohingyas n illegal bangladeshis and send them back to Bangladesh? Please do favour for #OurTelangana. Lets help our fellow Hyderabadis and our GDP too. Why bear the enemies? @bandisanjay_bjp  @BJP4Telangana https://t.co/epHOXG5Zlm,b'yangaldaspk',2020-11-21 05:18:21,economy
4,not a finance expert but how u @KTRTRS will clear the debt of 4.5 lakh cr say with mere income of 2 lakh cr goes to expenses &amp;  how u fulfill the promises when #Telangana surplus to bankruptcy are you guys not scared #GHMCElections2020 @Arvindharmapuri @byadavbjp @KVishReddy,b'BhagatCingh',2020-11-21 01:24:23,economy
5,Bangladesh GDP is more than Indias' GDP. @KTRTRS why don't you trace rohingyas n illegal bangladeshis and send them back to Bangladesh? Please do favour for #OurTelangana. Lets help our fellow Hyderabadis and our GDP too. Why bear the enemies? @bandisanjay_bjp  @BJP4Telangana https://t.co/WH7zVTUuV2,b'yangaldaspk',2020-11-20 17:40:37,economy
6,"@KTRTRS Sir Can you help us to get a job for my dad. Because it's been 7 months with no income and struggling in many ways to find a job. We need some financial support for home rents, Tuition fees from your side. Please help my dad with a job #requesting @KTRTRS",b'Janardh66827578',2020-11-20 15:48:37,economy
7,"@NJaksani @trspartyonline @KTRTRS Name few, asal do u know what -24% GDP means. Please check the impacts of it",b'prashan95422785',2020-11-20 15:47:06,economy
8,"@NJaksani @trspartyonline @KTRTRS Its because of Modi's policies, Smashed BSNL, Now about to smash LIC,  Taken 7% growth economy to -24% growth economy",b'prashan95422785',2020-11-20 14:50:20,economy
9,@Dywantit @SaffronforTS @KTRTRS So how can u say that tax money is not getting wasted due to frequent replacement of pipes  Govt is spending more money than allocated for replacement of pipes it's burden of people  If govt is causing financial burden then it's obviously wasting money,b'BharadwajMvr',2020-11-20 14:08:16,economy
10,@bhageerath_b @MirZacob @TRSMAZHAR @bandisanjay_bjp @KTRTRS @krishanKTRS @dcstunner999 @ysathishreddy As you speak as uneducated can you ask your leader to speak with proofs .. IS kcr involved with terrorist? Ask him prove that first. Unnecessary bringing Hinduthva thing into politics. What did ModiJI do to India in these 7 years speak facts. Where is GDP? Where is rupee value?,b'itsmesp18',2020-11-20 13:43:38,economy
11,@BloomVade PEOPLE MUST UNDERSTAND HALAL IS A MUSLIM PARALLEL ECONOMY SYSTEM WITHOUT ACCOUNTABILITY AS OPPOSE TO HINDU TEMPLE ARE TAXED!  @KeralaTourism @BJP4Keralam @PIB_India @BJP4TamilNadu @Swamy39 @swamidipankar @TelanganaToday @TelanganaCMO @JPNadda @SadhguruJV @DDNewsAndhra @THAndhra https://t.co/60WAhBJDb8,b'SICKULAR1515',2020-11-20 12:38:12,economy
