,Tweet,User,createdTime,label
0,@KTRTRS @trsharish @RaoKavitha @TelanganaCMO  @jagadishTRS @MedayRajeev @OfficeOfKavitha Sir iam Aavula Anjaiah.Consumed Pesticides Of The Cause Of StateWood Of Telangana On Attempt Sucide (11-11-2012.Sunday)My Health is Cooperated To Do Any Work.@TheRealHimanshu @KTRoffice https://t.co/TI6u2V14Me,b'AnjaiahAavula',2020-11-21 06:03:33,health
1,"@KTRTRS Sir Development is on Basic Needs i.e. Health Care, Eduction etc., We all seen how bad Health care system during COVID-19.",b'OfficeOfSiva',2020-11-21 05:37:46,health
2,@ysathishreddy @KTRTRS @trspartyonline @RaoKavitha @D_SudheerReddy @KonathamDileep @DrRanjithReddy @Koppulaeshwar1 @kp_vivekanand @KTR_News @BTR_KTR @HiHyderabad I need small job for take care of my father health https://t.co/VPKboyYOPH,b'PBudesh',2020-11-21 04:54:46,health
3,@ChintalaShanti @KTRTRS I need small job for take care of my father health https://t.co/y58CwLxT2L,b'PBudesh',2020-11-21 04:53:46,health
4,@trspartyonline @KTRTRS I need small job for take care of my father health https://t.co/itJr4OUzFv,b'PBudesh',2020-11-21 04:53:23,health
5,@KTRTRS if roadshows by you CORONA will be vanished as medicine (roadshow). You have no interest on public health only on selections,b'quality2012kmrr',2020-11-21 03:56:25,health
6,@balkasumantrs @KTRTRS @trspartyonline @trsinnews I need small job for take of my father health https://t.co/XcpOmJmg6m,b'PBudesh',2020-11-21 03:32:04,health
7,@KTR_News @KTRTRS I need small job gor take care of my father health https://t.co/co8rUOjLzU,b'PBudesh',2020-11-21 03:31:01,health
8,@vishutheone @KTRTRS @ChintalaShanti @KTR_News I need small job for take care of my father health https://t.co/QZTAg9X3fA,b'PBudesh',2020-11-21 03:30:04,health
9,"@KTRTRS Excellent ! Sir, also there are few big issues. Nacharam industrial area is highly polluted with few industries releasing toxic smoke and smell. Thousands of residents living next to factories and struggling with Health issues. Please take action. 🙏🏻",b'ADONI77376255',2020-11-21 03:13:44,health
