,Tweet,User,createdTime,label
0,"@kochattil @SandeepCh97 @Ravishankar4TRS @rathiakhilesh57 @KTRTRS True, BSNL employees have that attitude of being government employees and nothing can happen to them. This attitude of theirs has pushed them to a loss making one. They couldn't captialize on their reach and infra and the government had to come to their rescue for revival. https://t.co/7nGorGZQsg",b'ravikoyyada',2020-11-21 06:45:09,telecommunication
1,"@ravikoyyada @SandeepCh97 @Ravishankar4TRS @rathiakhilesh57 @KTRTRS Yes, when the nation is switching to 5G. Did you ever try and get a complaint rectified with BSNL..",b'kochattil',2020-11-21 06:35:48,telecommunication
2,@SandeepCh97 @kochattil @Ravishankar4TRS @rathiakhilesh57 @KTRTRS I am not sure if you are aware of this but BSNL has already been provided with the 4G spectrum and it has started rolling it out. https://t.co/P3VHfWcKYo,b'ravikoyyada',2020-11-21 06:31:31,telecommunication
3,"@trspartyonline #MadhavapuriHills #PJREnclave @AmeenpurM @AVRWA1 this area hasn't seen growth from past 10years ( roads, water, network, drainage)...@KTRTRS this is what you call as bhayanagaram growth, it should not all be in hi-tech city &amp; Gachibowli it should spread across all areas..",b'RajeshCH05482',2020-11-21 05:40:51,telecommunication
4,ఉద్యోగుల పొట్ట గొట్టి #BSNL ను Mukesh Ambani కి బంగారు పళ్లెంలో పెట్టి అందించబోతున్న #Modi   ❌Forcefully removing employees  ❌4G spectrum is denied 4 #BSNL   ❌Profit earning City zones are given to private and loss earning Rural zones are with #BSNL   #GHMCwithTRS @KTRTRS https://t.co/c34sO840dF,b'Yash_Rajaneni',2020-11-21 05:36:54,telecommunication
5,@kochattil @Ravishankar4TRS @rathiakhilesh57 @KTRTRS So who was leading BSNL ? Why can't they be par with pvt entities ? Was BSNL intentionally low performing to make way for corporates ?,b'RamSimha1',2020-11-21 04:19:41,telecommunication
6,"@SandeepCh97 @kochattil @Ravishankar4TRS @KTRTRS BSNL will also be open for ppp, got it",b'rathiakhilesh57',2020-11-21 03:29:05,telecommunication
7,"@Ravishankar4TRS @rathiakhilesh57 @KTRTRS In a village 2 services present BSNL and airtel.  One day due to some problem both went down.  U know what airtel started in 4 hours and bsnl started after 4 months, all subscribers lost, all revenue lost.",b'BMuktheshwar',2020-11-21 03:25:18,telecommunication
8,@kochattil @Ravishankar4TRS @rathiakhilesh57 @KTRTRS So?? Did they try to revive it?? Till now they didnt allocate 4G spectrum to BSNL. While world is moving to next 5G also.,b'SandeepCh97',2020-11-21 03:24:08,telecommunication
9,@kochattil @Ravishankar4TRS @rathiakhilesh57 @KTRTRS Oh really .. Happy to remember you wat ur MP saab said about BSNL Employees https://t.co/oNKM3q6TIv,b'VenkatBandari3',2020-11-21 03:22:44,telecommunication
10,@Ravishankar4TRS @rathiakhilesh57 @KTRTRS BSNL is dead because of the poor level of service and pathetic customer service.,b'kochattil',2020-11-21 03:14:23,telecommunication
11,@rathiakhilesh57 @KTRTRS IS BSNl is sold out or still alive,b'Ravishankar4TRS',2020-11-21 03:08:41,telecommunication
12,@KTRTRS #Telangana unveils ambitious T-Fiber program to enable high-speed broadband in villages @KVishReddy @sravandasoju @Arvindharmapuri @RaoMlc @revanth_anumula @V6News @TeenmarMallanna @revathitweets @Paul_Oommen @RobinZaccheus @sudhakarudumula https://t.co/2dH7rPASiW,b'yngrblajay',2020-11-21 03:05:21,telecommunication
13,"@Drsaitejareddy @NJaksani @trspartyonline @KTRTRS BSNL jobs pikindu, LIC ni privatisation chesindu. Do u know how farmers will effect with his draconian Agricultural bills. Such bills are not less than East India company's rule",b'prashan95422785',2020-11-21 02:37:09,telecommunication
14,"@trspartyonline @KTRTRS Yes more wines shops ,more bars  , where is T Fiber sir , Act fiber is looting , Your father my CM is sleeping",b'pavankurapati99',2020-11-20 20:05:20,telecommunication
15,@prashan95422785 @trspartyonline @KTRTRS We have so many sectors are there in state government  not only LIC and BSNL.,b'NJaksani',2020-11-20 14:53:28,telecommunication
16,"@NJaksani @trspartyonline @KTRTRS Its because of Modi's policies, Smashed BSNL, Now about to smash LIC,  Taken 7% growth economy to -24% growth economy",b'prashan95422785',2020-11-20 14:50:20,telecommunication
