,Tweet,User,createdTime,label
0,"@krishanKTRS @tejuvasireddy @KTRTRS We should take action on this old fellow 🥴.. you cant manhandle media and that too on a cameraman , who is not even asking a single question ! Such a waste 🧐",b'ashokilluri',2020-11-21 06:43:01,solid waste
1,@Drsaitejareddy @trspartyonline @KTRTRS Manam entha matladina waste bro 🙂   Endhukante oka point lekunda bjp ki support chestunandku kopam vachindhi Anyways sorry for saying 🐐 But still bjp kana trs better 😌,b'Sricharan_1309',2020-11-21 06:29:43,solid waste
2,@iRupND @KTRTRS Come and check #Madhapur #durgamcheruvu metro stop walking route. Total garbage @GHMCOnline #GHMCElections2020,b'radhakrishna04',2020-11-21 06:28:07,solid waste
3,"@Drsaitejareddy @trspartyonline @KTRTRS Bro nen gorre anindhi bjp support chesinandhuku ni education base Midha kadu and who are u na education estimate cheyadaniki , ayina maladadanki common sence undali education kadu  , trs and bjp lo bjp waste antuna trs kana nen em trs thop anakley , anyways leave it",b'Sricharan_1309',2020-11-21 06:16:12,solid waste
4,1 / 8 #GHMC #TRS #Hyderabad #Awards @KTRTRS @trspartyonline @BJP4Telangana - Check this award for best performance by Telangana government&amp; GHMC for solid waste management. https://t.co/VgV1B9poF5,b'sridhar_swiss',2020-11-21 06:13:57,solid waste
5,@GHMCOnline @HMWSSBOnline Some one came and removed garbage but the man hole need repair as the lid will fall inside if placed https://t.co/4LnWKk4mFR,b'smmh25',2020-11-21 06:04:21,solid waste
6,@Vidyasagarrao_K @trspartyonline @trsinnews @KTRTRS @KonathamDileep @RaoKavitha GHMC garbage collecting people charging 100rs per house to take garbage.,b'AMRUTHR43129840',2020-11-21 05:58:16,solid waste
7,"@mirzahyd1 @KTRTRS They can atleast open up the cross road, we have to travel 1 Km just to cross the road (waste of time and fuel) multiple times in the day.",b'am_I_Asim',2020-11-21 05:56:17,solid waste
8,@KTRTRS Sir come to charminar in front of mch office their is abundant garbage and filthy smell every where What is shameless ghmc commissioner doing  Is he sleeping,b'Ashishm84005811',2020-11-21 05:50:15,solid waste
9,"#NMC Circle 3 sanitation drive, Road sweeping, door to door waste collection, Drain cleaning &amp; clearing gvp done by #FRONTLINE warriors to keep the city clean and prevent the spread of #COVID19    #SwachhSurvekshan2021Nizamabad @Collector_NZB  @KTRTRS  @arvindkumar_ias https://t.co/CHDtRZk2mc",b'MC_Nizamabad',2020-11-21 05:35:28,solid waste
10,"#NMC Circle 2 sanitation drive, anti larva spray, door to door waste collection, Drain cleaning &amp; clearing gvp done by #FRONTLINE warriors to keep the city clean and prevent the spread of #COVID19    #SwachhSurvekshan2021Nizamabad @Collector_NZB  @KTRTRS  @arvindkumar_ias https://t.co/XQM2EvKnps",b'MC_Nizamabad',2020-11-21 05:23:51,solid waste
