,Tweet,User,createdTime,label
0,"One thing Telangana cannot deny is TRS did a fantastic job in ensuring 24|7 Power supply. Hats off to @TelanganaCMO @KTRTRS for this achievement!   Perhaps, TRS must include @IvankaTrump's visit in their GHMC elections manifesto assuring the road repairs in Hyderabad. https://t.co/NencCiDiJ6",b'RobinZaccheus',2020-11-21 06:38:59,transport
1,"@KTRTRS 9 flyovers are really great but, are Secunderabad people not part of this govt to face such harsh road conditions and mantris who give answers as if we are living in their kingdom?  Tired of unhygienic conditions and pathetic roads 🙏🙏🙏",b'chakri477',2020-11-21 06:33:55,transport
2,Hyderabad lo integrated Transport system testhamu...Metro-RTC feeder services and common Smart card annaru ga?  Just gurthu chesthunnamu. @trspartyonline @KTRTRS,b'tweetonpoint',2020-11-21 06:33:33,transport
3,"@KTRTRS Congrats on all these but hv to say, ppl are not becoming intelligent or responsible in the city - they drive on wrong side and then throw their weight around..spit on the road, not sensible to wear mask - u can't cme any close to education levels of Kerala- so long road still",b'param_sr',2020-11-21 06:33:30,transport
4,@iRupND @KTRTRS Come and check #Madhapur #durgamcheruvu metro stop walking route. Total garbage @GHMCOnline #GHMCElections2020,b'radhakrishna04',2020-11-21 06:28:07,transport
5,"Committed to Development  @KTRTRS Anna Road show will be starts from kukatpally old alapur x road at evening 5 The warrior is coming, jaii telangana  @KTR_News @JAGANTRS @krishanKTRS @dcstunner999 @trspartyonline @BTR_KTR @bethisubhastrs @varuntrs58 @MSadashivarao @trsinnews https://t.co/aj3UiJFres",b'SaibabaSanthos1',2020-11-21 06:27:04,transport
6,@KTRTRS Please don't take credit for what's not yours. Metro began during Congress rule and infact was slowed down during your tenure causing traffic inconvenience for 5 years.,b'Jib_Rant',2020-11-21 06:21:04,transport
7,"Road no 1, Adarsh nagar colony, Lingampally. water is leaking from municipality supply and flooding the streets badly everyday. Along with wastage, it's making the road sides muddy. Please send plumbers to check it. @GHMCOnline @CommissionrGHMC https://t.co/8L4hY3bRwY",b'dillip2006',2020-11-21 06:18:11,transport
8,Road Sweeping done by #FRONTLINE warriors of NMC to keep the city clean.  #SwachhSurvekshan2021Nizamabad #SwachhBharat  @SwachhBharatGov  @KTRTRS  @arvindkumar_ias  @Collector_NZB https://t.co/ON3ERK0RWQ,b'MC_Nizamabad',2020-11-21 06:11:06,transport
9,"@RaoKavitha @trspartyonline @KTRTRS Sir, if u want win by majority in GHMC Election u have to develop surrounding district of Hyderabad as the 90 % people staying is of the nearby dist.  Infradev like-Rail,Road,Medical  &amp;EngCollege. @trspartyonline @KTRoffice @MinisterKTR @ntdailyonline @TelanganaToday @KTR_News",b'Ahmedchowdhary2',2020-11-21 06:09:24,transport
