,Tweet,User,createdTime,label
0,"@KTRTRS Congrats on all these but hv to say, ppl are not becoming intelligent or responsible in the city - they drive on wrong side and then throw their weight around..spit on the road, not sensible to wear mask - u can't cme any close to education levels of Kerala- so long road still",b'param_sr',2020-11-21 06:33:30,education
1,"@Drsaitejareddy @trspartyonline @KTRTRS Bro nen gorre anindhi bjp support chesinandhuku ni education base Midha kadu and who are u na education estimate cheyadaniki , ayina maladadanki common sence undali education kadu  , trs and bjp lo bjp waste antuna trs kana nen em trs thop anakley , anyways leave it",b'Sricharan_1309',2020-11-21 06:16:12,education
2,@KTRTRS Sir what about hyd roads 2 TERMS you were elected and no.improvement during a rain fall ?? What about unauthorised constructions ?? What about govt jobs ?? What about kg to pg education ??,b'Abhishek_210791',2020-11-21 05:58:05,education
3,@KTRTRS Sir.....what about   KG to PG free Education  Why this Government not Implementing...10% EWS Reservation???  Why Delaying....in Appointing VC's to University's.  What Happened to Implementing of... COVID in Arogya Sri??,b'Sundeep09431317',2020-11-21 05:49:27,education
4,@KTRTRS But your government is encouraging from past 6 years. Why don't you use this funds for education and hospitals,b'RachuriChandra',2020-11-21 05:41:23,education
5,@Sricharan_1309 @trspartyonline @KTRTRS Haha bro mana state ni kcr em develop chesado chepthava jera ... vini taristha and neenu oka 10-12 ques adugutha answers vunnaya nee daggra malla ..nd last not but least ...Aiims dr ni gorre antunnav ante ..i can estimate ur level of education,b'Drsaitejareddy',2020-11-21 05:16:04,education
6,"@SatishTRS @GayathriBandar7 @YadavTalasani @KTRTRS @talasani_sai Satish TRS. Your profile shows as unsuccessful attempted civil, so you lost because becoz of education. You decorated looser. Shame on u &amp; ur godavari River expert n unsuccessful MP looser to call a women a shameless? Work for nation not for slavery families",b'DharmBhakt',2020-11-20 22:58:39,education
7,"@KTRTRS The right wingers have only agenda, divide and divide. They cannot contest in elections based on development, employment, education, healthcare. They started brainwashing people of the state. Hope their communal agenda will fail.",b'adil_shaik1',2020-11-20 17:42:59,education
8,"@KTRTRS 4. No.. of  Wine shops and new belt shops has been alocated during TRS rule but Never spoke about his promise of Kg to pg free education. 5. Total Budget allocated to comission fetching projects,",b'nanda_bharath',2020-11-20 16:52:25,education
9,"@NG_8008 @dhaarmicboy @KTRTRS all the education in usa drained in the nala of corruption   if one really had the genuine spirit towards the state they themselves created, they would work on the basics - the foundation  but they started making money &amp; will end up with no money in the end when scams come out",b'sahayogan',2020-11-20 15:33:43,education
10,@Arvindharmapuri @KTRTRS @TelanganaCMO @BJP4Telangana @kishanreddybjp @drlaxmanbjp @bandisanjay_bjp @TigerRajaSingh @RaghunandanraoM @drlaxmanbjp @bandisanjay_bjp 27% for #obc is constitutional guarantee though #obc ignored 4% reservation for #Muslim in education&amp;semployment why #obc lose rightful share in representation be #GHMCElections or assembly #ghmc #Hyderabad #bhainsa glaring example @karunasagarllb,b'eccentricraj',2020-11-20 14:19:27,education
11,"If you want to know what level of corruption is prevailng in Telangana (Perhaps In India too),you have to go to RTA offices.  Your education ,Eligibility ,knowledge , skill ,rules and regulations, Legality etc are useless here.  @TelanganaCMO @KTRTRS @bandisanjay_bjp",b'KD66702337',2020-11-20 11:29:52,education
