,Tweet,User,createdTime,label
0,"#NMC Circle 3 sanitation drive, Road sweeping, door to door waste collection, Drain cleaning &amp; clearing gvp done by #FRONTLINE warriors to keep the city clean and prevent the spread of #COVID19    #SwachhSurvekshan2021Nizamabad @Collector_NZB  @KTRTRS  @arvindkumar_ias https://t.co/CHDtRZk2mc",b'MC_Nizamabad',2020-11-21 05:35:28,sanitation
1,"#NMC Circle 2 sanitation drive, anti larva spray, door to door waste collection, Drain cleaning &amp; clearing gvp done by #FRONTLINE warriors to keep the city clean and prevent the spread of #COVID19    #SwachhSurvekshan2021Nizamabad @Collector_NZB  @KTRTRS  @arvindkumar_ias https://t.co/XQM2EvKnps",b'MC_Nizamabad',2020-11-21 05:23:51,sanitation
2,"#NMC Circle 1 sanitation drive,  door to door waste collection, Drain cleaning &amp; cutting bushes done by #FRONTLINE warriors.  #SwachhSurvekshan2021Nizamabad @Collector_NZB  @KTRTRS  @arvindkumar_ias https://t.co/izucHyUGHm",b'MC_Nizamabad',2020-11-21 05:17:33,sanitation
3,Morning sanitation inspections in @bandlagudajagir  @arvindkumar_ias @KTRTRS @cdmatelangana @CollectorRRD https://t.co/JToxSoan27,b'bandlagudajagir',2020-11-21 04:51:49,sanitation
4,"@GHMCOnline @CommissionrGHMC Dear Sir, Just to know the reason for littering on the open lands in and around Miyapur, and how GHMC can fix this littering issue. I see sanitation workers clean the place periodically and the next day it starts stinking again.",b'connectrajeev',2020-11-20 17:15:30,sanitation
5,@Collector_KNR @TelanganaCMO @KTRTRS @SmitaSabharwal Better sanitation keeps good health,b'Rajkoti456',2020-11-20 14:09:17,sanitation
6,"@KTRTRS having lunch with #GHMC sanitation &amp; DRF staff amidst tough times of covid lockdown in #Hyderabad, interacted, served food &amp; motivated them 🙏 https://t.co/CiEZHqzyAu",b'TelanganaBest',2020-11-20 08:47:38,sanitation
7,"@RobinZaccheus @GHMCOnline @HiHyderabad @umasudhir @swachhhyd @CoreenaSuares2 @HydWatch @FloodHyderabad Admire the way entire sanitation team worked even during lockdown and after the floods. Patiently sweeping up the debris and carting it away. Swachh Hyderabad happened only due to them. My wife regularly gives our local lady tea, water and snacks to her.",b'VijayWriter',2020-11-20 05:59:08,sanitation
8,#NMC sanitation wing carrying out the drain cleaning activity in circle 3  #SwachhSurvekshan2021Nizamabad @KTRTRS  @arvindkumar_ias  @Collector_NZB https://t.co/x6DlTqJQ8M,b'MC_Nizamabad',2020-11-20 05:55:19,sanitation
9,"#NMC Circle 5 sanitation drive, road sweeping, door to door waste collection, Drain cleaning &amp; clearing gvp done by #FRONTLINE warriors to keep the city clean and prevent the spread of #COVID19    #SwachhSurvekshan2021Nizamabad @Collector_NZB  @KTRTRS  @arvindkumar_ias https://t.co/tgUnRuqflt",b'MC_Nizamabad',2020-11-20 04:36:09,sanitation
10,"A smile on her face this morning when I told her “you’re going a fantastic job!!”😁 she works hard everyday.  Early morning conversation with @GHMCOnline’s Sanitation worker in 136 division before the day gets busy with politics, elections in #Hyderabad!   #MakeSomeoneSmileToday https://t.co/UKm2glKvnz",b'RobinZaccheus',2020-11-20 01:07:55,sanitation
11,#WorldToiletDay  Sustainable Sanitation is key point for good Health   Attended World Toilet Day 2020 celebrations at ZPHS School Parlapally (V) Thimmapur  Conducted Rangoli Essay writing competitions &amp; distributed mementos to the winners  @TelanganaCMO  @KTRTRS  @SmitaSabharwal https://t.co/OqRxo7prv3,b'Collector_KNR',2020-11-19 11:10:59,sanitation
12,@Babafasiuddin @KTRTRS Sir why don't u have a check on #sharadhinagarborabanda is it not a part of borabanda?  No road  no footpaths  open dumpyard Open defacation Consuming of alcohol on roads. No proper sanitation Show some interest in this area sir @KTRTRS @GHMCOnline https://t.co/5uHsH3iizm,b'VarunTe747',2020-11-19 10:32:09,sanitation
13,"In Sanitation management, we rank no.1 in cities with 4 million+ population. Overall, we stand on the 19th. : @KTRTRS",b'TheSiasatDaily',2020-11-19 06:25:08,sanitation
14,#NMC sanitation wing carrying out the drain cleaning activity across the city.  #SwachhSurvekshan2021Nizamabad @KTRTRS  @arvindkumar_ias  @Collector_NZB https://t.co/yiIhoTa0x5,b'MC_Nizamabad',2020-11-19 05:59:44,sanitation
15,"@trspartyonline @KTRTRS sir, I did not expect Jitendra nath for maccha bollaram, we never seen this guy before last election, while election campaign, during this 5 year period. I don't like the sanitation facilities in our area. citizen colony,  road no 1, old alwal",b'VishnukumarChe4',2020-11-19 04:51:33,sanitation
16,Toilets are built for advertisements ?  for the use of public ? #Hyderabad #sanitation @GHMCOnline https://t.co/8RpkkVgH0g,b'sudhakarudumula',2020-11-19 02:58:32,sanitation
17,Best way to achieve 100% sanitation is to have control on the dwelling units that spread in smaller extent plots. 200 sq yd plot 6 storied buildings with 12 units/48 no. Population. U can calculate the aggregate waste that gets accumulated! @KTRTRS @arvindkumar_ias https://t.co/NWMKLjHdJf,b'krish4449',2020-11-18 14:34:08,sanitation
18,"#GHMC #Hyderabad providing international standards of sanitation like the loo Cafe, a brain child of @KTRTRS  #HyderabadWithTRS ❤️ #VoteForCar 👍 @ANI @TV9Telangana https://t.co/fTdl88TP1r",b'TelanganaBest',2020-11-18 11:20:47,sanitation
19,"Whenever anyone talks about a public toilet, the first thought is to avoid using them considering its cleanliness and hygiene status. Our corporation is trying to change people’s behaviour by giving them international standards of sanitation like the loo Cafe  @KTRTRS #Hyderabad https://t.co/VcfkddhPHU https://t.co/54zLRbBszQ",b'abdulma32033529',2020-11-18 11:13:24,sanitation
20,Telangana is fairly doing well regarding the sewer mechanisation and welfare initiatives for Safai karamcharies.  Request all States to ensure 'Equal pay for Equal work' with social security benefits for the outsourced safai karamcharies.  https://t.co/QsML8SmNvo @KTRTRS,b'sathyaccl5206',2020-11-18 08:00:49,sanitation
21,"The #sanitary public health workers and other #field level staff were earlier being paid ₹14,000 but now they will be given ₹17,000 and the sanitary #field assistants who were being paid ₹14,500 would now be paid ₹17,500.  @KTRTRS  #COVIDWarrior  https://t.co/rWSqdTJeHx",b'LogicalIndians',2020-11-18 06:10:18,sanitation
22,"@KTRTRS  @TelanganaCMO Sir never expected this in rural telangana.. Every village is Focused on sanitation basic amenities like dumping yard, crematorium,pale prakriti vanams, Haritha haram,monkey food courts, and more Junior panchayat secretaries are working very hard on field. https://t.co/eNlu7XklVT",b'bikespot7',2020-11-18 05:22:17,sanitation
23,It good to increase salaries for GHMC sanitation employees. But we have many corporations in Telangana state they are getting very less salaries. Increase for them also @KTRTRS @MinisterKTR @TelanganaCMO @MC_GWMC @arvindkumar_ias @cdmatelangana @DrTamilisaiGuv https://t.co/IgvzaNLDAV,b'RevuriSrinivas9',2020-11-18 03:49:05,sanitation
24,Awaiting your response @MoosapetDC  @zckukatpally @Director_EVDM @arvindkumar_ias @KTRTRS @HiHyderabad @HydForum @HydWatch @AC_sanitation @DC_Kukatpally,b'vinay_vangala',2020-11-18 03:31:37,sanitation
25,Celebrated the hike in salary of #ghmc sanitation  workers by doing #పాలాభిషేకం  to our hon'ble CM KCR Garu. @TelanganaCMO @KTRTRS @GHMCOnline https://t.co/bPWWCKvfxO,b'AdarshSindhu',2020-11-16 16:33:53,sanitation
26,As per instructions of Hon'ble Minister @KTRTRS  Special Sanitation Drive underway in Khairatabad Zone.   #TeamGHMC striving for a clean and green Hyderabad  @arvindkumar_ias @GHMCOnline @CommissionrGHMC https://t.co/ZS1g5F30ci,b'ZC_Khairatabad',2020-11-16 13:53:28,sanitation
27,Hon’ble DPO Dr.Jayasudha garu inaugurated “One Ward-One Week” Programme in @GpSirnapally which was a thought of sarpanch @telu_vijay garu to find solution for sanitation centric problems @Govardhan_MLA @TelanganaCMO @SmitaSabharwal @KTRTRS @VPRTRS @SbmNzb @PMOIndia @swachhbharat https://t.co/m8WR7L3W3I,b'GpSirnapally',2020-11-16 13:42:39,sanitation
