,Tweet,User,createdTime,label
0,@CYBTRAFFIC @cyberabadpolice @TelanganaCOPs @HYDTP @Rachakonda_tfc @drpuppalaa I think it was at Lakdikapool @HYDTP https://t.co/mEJJXD2i5H,b'ajithnairpk',2020-11-21 06:41:57,police
1,"@HYDTP Vehicle parked in no parking area, traffic obstruction.  Place makers of milkshakes, East Marrepdally. Date 21/11/20, time 11:40 am https://t.co/QpyvQGIkPZ",b'Iamsusairaj',2020-11-21 06:40:20,police
2,"@proudhyd8687 @HYDTP @hydcitypolice @subcontinentian Good afternoon sir, we will take necessary action against them",b'meerpetps',2020-11-21 06:33:15,police
3,"@CYBTRAFFIC @HYDTP Hello Sir, could you take some time n look into my issue",b'Mhesh60812637',2020-11-21 06:30:06,police
4,"Sincere&amp;humble request to Telangana State Election Commission,@TelanganaDGP, @HYDTP ,@RachakondaCop,@TelanganaCMO,@GHMCOnline pls make mandatory holiday for all emplys whoz working on 1DEC, for upcoming GHMC elections as it wl ensure d every citizen vote count #GHMCElections2020",b'SravanK1225',2020-11-21 06:29:47,police
5,"@RachakondaCop @TelanganaCOPs @hydcitypolice @cyberabadpolice @TelanganaDGP @IPS_Association @CPHydCity @ipstelangana @cpcybd Yes.....but ""as many as"" misuse power,supporting criminals,,,,some,folded with instruction from elected,,,,and who many  remaining in % in media ,,,,",b'Gopi20015750',2020-11-21 06:29:07,police
6,@RachakondaCop @TelanganaDGP @TelanganaCOPs @KTRTRS @TSHomeMinister @TelanganaCMO @ts_womensafety @SwatiLakra_IPS @SumathiIPS @TS_SheTeams @sheteams_rck @sheteamcybd @SheTeams @IPS_Association @BPRDIndia @thenewsminute @TelanganaToday @the_hindu @NewsMeter_In @sakshinews @ManaTelanganaIN @ntdailyonline @TOIHyderabad Great efforts never go in vain!! Kudos to @RachakondaCop @hydcitypolice,b'SChandraTweets',2020-11-21 06:28:49,police
7,"@KTRTRS sir, Instead of collecting fines for Helmet less travel, why can't the @TelanganaCOPs sell Helmet on the spot. So, if no helmet buy it or Pay the fine. Police will issue an on the spot Challan for Helmet rate. He will collect it from any police station with in 24 hrs.",b'prathappspvs',2020-11-21 06:21:33,police
8,@HYDTP @insptr_bahadur @AddlCPTrHyd all illegal parkings should also be removed in Hyderabad to make it more spacious and beautiful. thanks to HTP.,b'mdnumaankhan1',2020-11-21 06:19:08,police
9,@HYDTP @insptr_bahadur @AddlCPTrHyd Good job Sir.,b'mdnumaankhan1',2020-11-21 06:18:26,police
10,"@HYDTP Vehicle parked in no parking area, traffic obstruction.  Place makers of milkshakes, East Marrepdally. Date 21/11/20, time 11:40 am",b'Iamsusairaj',2020-11-21 06:16:48,police
11,"@CYBTRAFFIC @cyberabadpolice @TelanganaCOPs @CyberCrimePSCyb @HiHyderabad @bandisanjay_bjp be like GHMC will pay fine, but who will look after family if something happens to them.",b'lafoot1',2020-11-21 06:10:09,police
12,@TelanganaCOPs Allah bless you all Telangana Police.,b'SyedOmranHussa1',2020-11-21 06:09:56,police
13,Great effort sir which shows how dedicated and determination towards people safe and protection sir... Thank you for your care sir @TelanganaDGP @cyberabadpolice @hydcitypolice @RachakondaCop @TelanganaCOPs https://t.co/oNpTh3HPNN,b'KrishnaKittu34',2020-11-21 06:01:49,police
14,@CYBTRAFFIC @jvidyasagar @TelanganaCOPs @HYDTP @Rachakonda_tfc @cyberabadpolice @TelanganaDGP Good gesture and shall encourage more Good Samaritans. A timely help saved a life. Job well done Vidyasagarji. Keep it up,b'dineshchellam',2020-11-21 06:00:01,police
15,@hydcitypolice @HYDTP @subcontinentian @RachakondaCop Thank you sir,b'proudhyd8687',2020-11-21 05:56:59,police
16,@HYDTP @hydcitypolice Dear @HYDTP Please check TS357277,b'monadcrazy',2020-11-21 05:53:16,police
17,"@HYDTP @hydcitypolice Iron loaded lorry was prked midle road since last evening till 8am today obstructing traffic.(AP12U7939) Viratnagar junction, karmanghat, Back of Mandamallama function hall.kindly issue challan for his irresponsibility and carelessness.@subcontinentian https://t.co/Bgt41d2Di9",b'proudhyd8687',2020-11-21 05:48:19,police
18,@SwatiLakra_IPS @sheteams_rck @RachakondaCop @TelanganaCOPs Fantastic work.  Hats off.  My salutation to DCP Saleema and her team...,b'ed850fa002254d5',2020-11-21 05:43:22,police
19,@AddlCPTrHyd @3am @HYDTP Even then it may not work 100%.,b'mnirmal_2011',2020-11-21 05:40:38,police
20,@adilabad_sp @TelanganaDGP @TelanganaCOPs @ADB_1Town_SHO @ADB_2Town_SHO @Talamadugu_SHO @Tamsi_SHO @Indervelly_SHO @Bazarhatnoorsho @Boath_SHO @Gadiguda_SHO @Sirikonda_SHO @Narnoor_SHO Good job officers 👏👏🙏🙏,b'raithubidda89',2020-11-21 05:36:30,police
21,"@CYBTRAFFIC @cyberabadpolice @TelanganaCOPs @CyberCrimePSCyb @HiHyderabad This is unfair. I request all riders avoid Phones when riding. Stop see your mobile and proceed, if its emergency.",b'Vemulapallysub1',2020-11-21 05:35:09,police
22,"@AddlCPTrHyd @3am @HYDTP More than the Police &amp; the authorities, it’s the WE CITIZENS who should change.Lots of awareness campaigns hv been undertaken. Elders will remember the slogan on tank-bund in 1974 reading”DRIVE, DRIVE LIKE HELL, YOU WILL@SOON BE THERE.”So how many more campaigns are required????",b'mnirmal_2011',2020-11-21 05:34:42,police
