,Tweet,User,createdTime,label
0,"@Eatala_Rajender @TelanganaHealth @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874",b'SaikatRanchi',2020-11-21 06:48:23,health
1,@airnews_hyd @Eatala_Rajender They won't add the #COVID19India treatment in Arogyasri and implement Ayushman bharat... not a single action taken on Private hospital mafia...... Now they are saying there is no second wave😂😂😂😂 🤦,b'PavanVsPavan',2020-11-21 05:02:15,health
2,Will do surgeries in regional eye hospital👀 ..? @Eatala_Rajender @Collector_WGLU @MC_GWMC @dasyamofficial @TrsNarender @DayakarRao2019 @SatyavathiTRS @MinisterKTR @TelanganaCMO @MP_Rajyasabha https://t.co/BCniyxPtRD,b'HiWarangal',2020-11-21 00:58:42,health
3,@KTRTRS @RaoKavitha @Eatala_Rajender @TelanganaHealth @KTRoffice @BTR_KTR My relative was admitted @Continental_hyd  due to lung infection. He was active at time of admission on 18th Nov paid 1 lac . Now as per hospital he is on ventilator and OS bill is 3.2 lacs.please help 🙏,b'SatishTiramdas',2020-11-20 17:24:12,health
4,Met the health minister shri @Eatala_Rajender garu in Hitex for public health safety products we are committed to supply the safety products for india #MakeInIndia and #IndiaFightsCorona #medicaldevicespark #akritj https://t.co/mOp8baJlsP,b'KULDEEPRAIZADA',2020-11-20 16:32:22,health
5,"@Eatala_Rajender @EATALAOffice @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874",b'SaikatRanchi',2020-11-20 12:34:04,health
6,Union Health Minister Dr Harsh Vardhan Speaks on COVID Vaccine Developments &amp; Trials https://t.co/TmfTLUF23K @DDNewslive @DDNational @ROBHyderabad @PIBHyderabad @AirHyderabad @drharshvardhan @shashidigital @PMOIndia @kishanreddybjp @DrTamilisaiGuv @MVenkaiahNaidu @Eatala_Rajender,b'ddyadagirinews',2020-11-20 07:30:51,health
7,"@Eatala_Rajender @TelanganaHealth @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874",b'SaikatRanchi',2020-11-20 07:18:01,health
8,@BJP4Telangana @bandisanjay_bjp @NG_8008 @AlwaysAkki @MR4BJP @dhaarmicboy @sampath_bjp Please look in to this and do justice for her and take action on Hospital authorities @Eatala_Rajender @GKamalakarTRS @KTRTRS @TelanganaCMO @KTRoffice @Koppulaeshwar1 https://t.co/ke25IYgmRe,b'phanipeddapall1',2020-11-20 06:36:55,health
9,"@ActivistTeja @CoreenaSuares2 @TelanganaHealth : Is there any doctor/ receptionist contact details of #TIMS hospital, Gachibowli. My friend’s parents admitted in ICU. No communication till now. Please help by providing contact information. Thanks",b'SriRenikunta',2020-11-19 13:20:06,health
