,Tweet,User,createdTime,label
0,"Road no 1, Adarsh nagar colony, Lingampally. water is leaking from municipality supply and flooding the streets badly everyday. Along with wastage, it's making the road sides muddy. Please send plumbers to check it. @GHMCOnline @CommissionrGHMC https://t.co/8L4hY3bRwY",b'dillip2006',2020-11-21 06:18:11,water
1,"@GHMCOnline @arvindkumar_ias @KTRTRS @MinisterKTR Dear sir need your attention at balapur village dream city area as V R suffering this water logging issue frm last 2 months, after doing rounds of @MC_Jalpally nothing has been done our houses r surrounded by water help us please. https://t.co/8yaov1EuMo",b'AdiluddinM',2020-11-21 05:25:48,water
2,@GHMCOnline @Dc21Ghmc @ZC_SLP @KTRoffice @KTRTRS @TOIHyderabad atleast at election times ghmc complete half finished drainage system people are suffering using this road filled with Drainage water.  landmark- Road connecting chandanagar manjeera pipline road Myhome Mangala . https://t.co/NFN9RJHsjv,b'pavan23393795',2020-11-21 05:09:42,water
3,"@KTRTRS @TSMAUDOnline @GHMCOnline @CommissionrGHMC We are residence of EWSH,HB COLONY,MOULA-ALI, HYDERABAD.We are getting our water in this state every alternate day which is mixed with drainage pollution and everyone are scared and are not able to use.Please help us with this🙏. https://t.co/RSrnoB4EIU",b'nageshkuchana',2020-11-21 04:15:07,water
4,@GHMCOnline @CommissionrGHMC @KTRTRS Pedda Golkonda Exit closed a Month ago we are suffering every day with this Water clogging at Circle ⭕️ doing nothing to open up this Exist. This is the level of development we are facing in Hyd. @V6News @TV9Telangana https://t.co/6hQEa3ShyU,b'brreddy2019',2020-11-21 01:59:49,water
5,@GHMCOnline already drip system installed know? Is it not working? Why watering with pipe and water flowing on road causing vehicles to skid and cause accidents 😌 https://t.co/ufPcEQCch4,b'WithCitizen',2020-11-20 20:33:05,water
6,"Respected sir,  Water pipe damaged and causes problem to people,  Location:Road No.3 Sri Krishna Nagar Colony, Dilsukhnagar  @KTRTRS @KTRoffice @bonthurammohan @GHMCOnline https://t.co/gXiNz1l25V https://t.co/nmqO3hpxTX",b'manikanta5655',2020-11-20 10:38:37,water
7,@GRaghuveer @HMWSSBOnline @hmwssbgmom15 @hmwssbmgrchdngr @GHMCOnline @TelanganaCMO @TelanganaToday @KTRTRS @MDHMWSSB Ghmc is laying sewer line and damaged water supply net work during execution as it is development work we need to cooperate with  Ghmc your colony president told by tomorrow they will restore the net work if net work not restored plz call to manager tanker will be provided,b'Hmwssbdgmchdngr',2020-11-20 06:36:22,water
8,"@HiHyderabad @SrinivasBellam @KTRTRS @arvindkumar_ias @GHMCOnline @ActivistTeja @shanthchandra @vinay_vangala @bhavinbhalodi @rjsaulakh @SocialsPanda @sewrie @urban_lens @jvidyasagar Muncipality gives it to some contractor Mr Mallesh and entire new road is dug up,drainage is built on drinking water line which is against rule and till date the contractor dint come and inspect. Spending crores is fine, where is the accountability to check if it's done properly? https://t.co/CG02FYHklz",b'adwantr',2020-11-20 06:18:42,water
9,"@RobinZaccheus @GHMCOnline @HiHyderabad @umasudhir @swachhhyd @CoreenaSuares2 @HydWatch @FloodHyderabad Admire the way entire sanitation team worked even during lockdown and after the floods. Patiently sweeping up the debris and carting it away. Swachh Hyderabad happened only due to them. My wife regularly gives our local lady tea, water and snacks to her.",b'VijayWriter',2020-11-20 05:59:08,water
10,"@SrinivasBellam @KTRTRS @arvindkumar_ias @GHMCOnline @ActivistTeja @shanthchandra @vinay_vangala @bhavinbhalodi @rjsaulakh @SocialsPanda @sewrie @urban_lens @jvidyasagar Rs.20+ crores spent on fixing uneven manholes, but result remains same.   @GHMCOnline has always missed engineering basics. Be it manholes, rain water drains and bus-stops.",b'HiHyderabad',2020-11-20 05:40:11,water
11,"@HMWSSBOnline @GHMCOnline @KTRTRS @hmwssbdgmbnjhil @hmwssbgmom6 @hmwssbmgrjbhls Thank you, and please look into a permanent solution for this. That sewage water patch has become a permanent feature on that road for years now - only disappeared during the lockdown I think. Health hazard for lots of lives on that high density area.",b'ash_chowder',2020-11-20 05:38:31,water
12,@GHMCOnline hyderabad people will get tap for every two days even though workers are not releasing sufficient water.looks like GHMC elections agenda.,b'MANIRAJURMR',2020-11-20 05:25:52,water
13,"There's a bunch of eateries (Creamstone, Dadus, Dimmys, Mandi@36, etc.) along the water flow and yet people don't mind eating there by the hoards🤮The entrance to the road beside Rolex Showroom is also dilapidated, rendering it useless @HMWSSBOnline @GHMCOnline @KTRTRS Pls check.",b'ash_chowder',2020-11-20 05:19:32,water
14,There's been a continuous overflow of sewage water across Jubilee Hills Road #36 Peddamma Gudi junction since the lockdown ended. How are you all traveling through it without losing your cool everyday?  @HMWSSBOnline @GHMCOnline please check and fix this #GetWellHyderabad @KTRTRS,b'ash_chowder',2020-11-20 05:12:52,water
15,A pair of spot billed pelicans in the GHMC. Tells us what effective water management can achieve. @saveameenpur @GHMCOnline @IndiAves @OrnithophileI  #birdsofindia #indianaves #birds #urbanwildlife #lakes https://t.co/buBr1bI4W1,b'LinkinNikhil',2020-11-19 15:56:51,water
16,@GRaghuveer @HMWSSBOnline @MDHMWSSB @GHMCOnline @CommissionrGHMC it is highly annoying and sad to see the ownership and responsibility of drinking water from govt end. Moving from pillar to post but all in vain.,b'SushmaRaghuveer',2020-11-19 13:54:02,water
17,"@balaexpressTNIE @HydWatch @XpressHyderabad What this galli party has done in last 6 years about Trimulgherry lake, llegally closed by LMA in @SECBAD_CANTT Diff water charges for @GHMCOnline &amp; @SECBAD_CANTT When did they realised Sec-Bad &amp; Hyd-Bad are twin Cities,without developing Sec-Bad gow can they claim development",b'SaveTrimulgher1',2020-11-19 09:28:11,water
18,"@HMWSSBOnline @Hmwssbdgmchdngr @hmwssbgmom15 @hmwssbmgrchdngr @HMWSSBOnline @hmwssbmgrchdngr @GHMCOnline @TelanganaCMO @TelanganaToday @KTRTRS Dear all, while laying the drainage line, the Manjeera pipeline got damaged and now it's been a week we are living without water. When we have contacted GHMC and waterboard they are playing with us",b'GRaghuveer',2020-11-19 06:07:07,water
