,Tweet,User,createdTime,label
0,@TsspdclCorporat  there is no power in nizampet village from  3 hours so could you please let us know what went wrong and when will be resumed.,b'pilla_swetha',2020-11-21 06:30:58,electricity
1,@TsspdclCorporat Yesterday we didn’t have power for more than 3 hours and today again no power since 11 AM. What is the actual problem?,b'Sainenis',2020-11-21 06:29:20,electricity
2,@TsspdclCorporat When power will be restored?,b'Phanind05875855',2020-11-21 06:01:36,electricity
3,@TsspdclCorporat usc 109438232 when will power restore?,b'mani_d_best',2020-11-21 05:24:45,electricity
4,@TsspdclCorporat sir my USC no is 101375431(Langer house) ...no power from past 30 mins,b'AjitMaurya1987',2020-11-21 05:04:49,electricity
5,"@TsspdclCorporat   Hello team, Please provide an update for Yapral area with pincode 500087  Our USC no is 230100712         USC NO: 230101181  Please provide an update of the power restoration as office work is getting impacted  Regards, Benjamin",b'benz_kumar8',2020-11-21 03:10:38,electricity
6,"@TsspdclCorporat  My  unique service no: 100492715. No power in my area. Address:Sugra Mansion, Near Jayalakshmi Gardens Rtc Colony Kindly Check",b'Shaikfazal11',2020-11-21 02:08:50,electricity
7,@TsspdclCorporat no power in my area Ahmed colony past 2 hours local area not answering calls hotline just providing complaint numbers @KTRTRS u want to make hyd Singapore in this way,b'ksalsharif',2020-11-21 00:17:22,electricity
8,@TsspdclCorporat very much impressed by the service of officers who strive to resolve issues ASAP . Thank u to the officer who resolved the power issue in tolichowki area at this hour  and called back to check if the voltage issue is resolved .,b'Amrasif',2020-11-21 00:05:05,electricity
9,@TsspdclCorporat no power in tolichowki Brindavan colony gate no one from last 3 hours . Sir plz check,b'Amrasif',2020-11-20 23:54:09,electricity
10,@TsspdclCorporat when will power be restored to our area USC 100211030.,b'CorinneBlogs',2020-11-20 21:14:18,electricity
11,@TsspdclCorporat @KTRTRS @jagadishTRS @TelanganaCMO No power in Langerhouse .. Usc no 101366792,b'Sushil_Dvp',2020-11-20 18:49:04,electricity
12,@TsspdclCorporat no power since 30minutes kindly check USC no 112406621,b'PnarendraReddy',2020-11-20 18:23:32,electricity
13,@TsspdclCorporat there's no power supply here in Rajeev Nagar near Moti Nagar,b'totalshitfacts',2020-11-20 16:45:29,electricity
14,@TsspdclCorporat  sir usc no 100019118. No power  since 30 Min ... let us know when it will restores. ESI sundar nagar area,b'neet26062974',2020-11-20 16:45:27,electricity
15,@TsspdclCorporat  power has been cut repeatedly  USC no 107695251 Mobile no 7503600629,b'SaadSk295',2020-11-20 15:22:01,electricity
16,@TsspdclCorporat There is no power since 1 hour in Khajaguda Sai Aishwarya Layout. unique service no:112523268 Kindly look into it..,b'SushmithaAthota',2020-11-20 14:06:45,electricity
17,@TsspdclCorporat  No power in our area of kukatpally Entire area no power App is not responding to  raise complaint  102033333,b'Jag80149923',2020-11-20 13:26:11,electricity
18,@TsspdclCorporat Got the connection but sometimes frequent power cut happens..USC 111976659,b'PrinceSaurav007',2020-11-20 13:00:37,electricity
19,@TsspdclCorporat USC: 102762161  No power. Pls restore asap.,b'MousumiMajoomd1',2020-11-20 12:58:38,electricity
20,"@TsspdclCorporat  Lost power from 30mins  SC No: 1103607513  USC: 111386547  HNO- 4-1068, marthannagar new Hafeezpet   Contact: 7330814122  please look after this ASAP",b'vndkmr269',2020-11-20 12:26:46,electricity
21,"@TsspdclCorporat Thanks, power restored now.   My usc no is 100237814 My phone no is 9912407117 Address is  Indra Empire Apartment  Plot no 20 Sail colony Bowenpally  Nr life Spring Hosp.",b'BhatnagarRanjan',2020-11-20 11:53:20,electricity
22,@TsspdclCorporat power cut in Boduppall USC : 109350317,b'TheKalluu',2020-11-20 11:51:08,electricity
23,@TsspdclCorporat  power has been cut in my area USC no 107695251 Mobile no 7503600629,b'SaadSk295',2020-11-20 11:35:27,electricity
24,@TsspdclCorporat @KTRTRS power cut in my society I requested u restore supply as soon as possible USC number is 101437336 Thanks!,b'Mohammed_226678',2020-11-20 11:28:25,electricity
25,@TsspdclCorporat @TsspdclCorporat @KTRTRS power not yet resumed kindly check.,b'GunnalaVenugop1',2020-11-20 11:26:59,electricity
26,"@TsspdclCorporat is there any issue with Vasanth Nagar, Kukatpally feeder? There is no power since 2:45PM.  USC No: 102220936 landmark: Near Vasanth Nagar colony bus stand. Contact No: 9948544495",b'Sainenis',2020-11-20 10:31:08,electricity
27,@TsspdclCorporat There is power cut in our area. Pls help in restoring the same. USC : 101090397 #Hyderabad #GHMCElections,b'SaiShyamManohar',2020-11-20 10:11:14,electricity
28,"@TsspdclCorporat when will power be back in panchavati colony, manikonda",b'sushmaragi',2020-11-20 09:53:02,electricity
29,@TsspdclCorporat No power at Vidyanagar- Adikmet Road- Elderly and Infants are affected! USC-101098398 #powercut  @KTRTRS @KTRoffice,b'MeddySmz',2020-11-20 09:52:56,electricity
30,@TsspdclCorporat You FOC never pick phone.  Still power not csme.,b'BhatnagarRanjan',2020-11-20 09:33:52,electricity
31,@TsspdclCorporat @TsspdclCorporat  hi my USC no : 101069074 from last 4hr there is no power  in ramngar house no 1-9-183. Near baptist church. kindly do the need full.,b'GunnalaVenugop1',2020-11-20 09:23:42,electricity
32,"@TsspdclCorporat Dear Sir, there is a power interruption at One if the phase at Banjari Darwaza Golconda.  Since yesterday power was not there and citizens are facing many issues.  Your immediate intervention is highly appreciate. Thank you",b'golcondawork',2020-11-20 09:00:37,electricity
33,@TsspdclCorporat    No power in Jahanuma area  (USC - 110559624) since 1hr. FOC not picking up calls,b'HmmAli1',2020-11-20 09:00:13,electricity
34,@TsspdclCorporat no power since more than 3 hours in hasan nagar 4-22-73,b'mohd9197',2020-11-20 08:48:32,electricity
35,@TsspdclCorporat no power from 1 hr please look into this as we working from home . Please understand. Fyi USC no 101563838,b'vishwanathladdu',2020-11-20 08:43:42,electricity
36,@TsspdclCorporat @KTRTRS power cut in my society I requested u restore supply as soon as possible USC number is 101437336 Thanks...,b'Mohammed_226678',2020-11-20 08:36:46,electricity
37,"@TsspdclCorporat  Hi, We are experiencing power outage for more than 5 hours. USC: 112373422. This is so frequent in my area.  Can you please provide resolution at earliest. Unable to do WFH. CC: @MC_Peerzadiguda @TelanganaCMO @KTRTRS",b'RSai_Vamshi',2020-11-20 08:15:51,electricity
