,Tweet,User,createdTime,label
0,"b'@rahulsomanii @TelanganaCMO @TelanganaHealth Hi, we at AIG Hospitals are taking all necessary precautions starting from Identifying/Screening patients with COVID to having separate COVID, Non-COVID emergency, OPDs and In-patient services. However, please share your number over DM. We would immediately look into this.'",b'AIGHospitals',2020-10-05 09:39:13,fire
1,"b'@KTRTRS  Persistent EarthQuakes An Alarm: Every other ROW HOUSE in Sahara States is Sky High, Alas, With No Foundation. Absolutely Illegitimate too. Emergency Evacuation can safeguard lives. Followed by Demolishing every Violating Building.  Emergency Measures please to save!'",b'RaviBopparaju',2020-10-05 08:47:18,fire
2,"b'Every time NSUI protest peacefully to condemn the TRS Government,the police are beating them ruthlessly.The Polices treating students as they r some anti-social elements. Even if police fire on,they will never back down till the demands met @KTRTRS @TelanganaDGP @TelanganaCMO https://t.co/Be0ZImtR5W'",b'arjun_pharmacy',2020-10-05 08:38:40,fire
3,"b'Hai Sir, My Brother Siga Venkateswarlu(Sachivalayam Employee was suffering with head injury due to bike accident Due to emergency my brother was shifted from sangamitra hospitals ongole to Apollo Hospitals Chennai Please help us sir @ysjagan @AndhraPradeshCM @VSReddy_MP @gkd600 https://t.co/41yCAfeWRt'",b'SigaOjaswani',2020-10-05 08:26:56,fire
4,"b'@ysjagan Hi sir,I am Lahari resident of cheemalacheruvupalli,nuliveedu, galiveedu mandal,  Kadapa Dst. Actually in our village majorly there are  two problems. One is no signals for mobile phones even in case of emergency and the second one is no water availabilityin summerseason'",b'9ecb8e34f8934fd',2020-10-05 05:53:58,fire
5,"b'@KTRTRS Sir, cancel JNTUH exams or else covid will spread like wild fire.'",b'MARazzak7870',2020-10-05 05:26:03,fire
6,b'@TelanganaCMO @SmitaSabharwal  @Collector_WGLR Mam this grievance which requires  Emergency action is pending from long time in district administration... Please respond for immediate action https://t.co/ndG8dCLyAN',b'kakkerlaanil99',2020-10-05 05:12:10,fire
7,b'My frd needs immediate help please help him.  @KTRTRS @SonuSood @Socialserve  #helpforpoor #poorhelp #Emergency https://t.co/Ba1XTo4ZgD',b'kotrangi_prasad',2020-10-04 16:37:30,fire
8,"b""@trsrajasekhar @KTRTRS @MPsantoshtrs @TelanganaCMO @trspartyonline @chmallareddyMLA @RaoKavitha Keep the fire burning Rajashekar Anna Garu.. you rock.. because you are people's leader \xf0\x9f\x99\x8f\xf0\x9f\x91\x8d""",b'SamarAdidala',2020-10-04 16:06:42,fire
9,"b'@KTRTRS  I respected sir my mother is serious condition in cancer emergency case plz help    situation is very dangerous sir  9603620605,9603435059'",b'ganesh_batti',2020-10-04 07:55:10,fire
10,"b""@narendramodi @PMOIndia @ysjagan @VSReddy_MP @TV9Telugu @ndtv @BBCWorld @AmitShah free fire game please delete sir all children's is very problem.....Please sir.....\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8f""",b'ANWAR9010049999',2020-10-03 17:51:59,fire
11,"b'@KTRTRS  I respected sir My mother is safering for cancer gaada very seriace condition emergency case sir  help me sir 9603620605,9603435059'",b'ganesh_batti',2020-10-03 16:47:00,fire
12,b'*# Emergency* *Hyderabad* *Required Date*:03/10/2020 Patient name: Tapas das Age:27 *Need blood group*:A-ve  Required: platelets *Purpose*: Dengue  Hospital name:  KIMS Hospital Location: Kondapur Contact number:9553568134 @RaoKavitha @TheRealHimanshu @BloodAid @KTRTRS',b'madihafatima27',2020-10-03 14:38:35,fire
13,"b""@jaihind143rr @pfaindia @DRFEVDM @arvindkumar_ias @KTRTRS @Director_EVDM @bonthurammohan @NDRFHQ @Manekagandhibjp @IndiaHSI @FIAPOIndia @GHMCOnline @TOIHyderabad @NewsMeter_In If u see the shelter in bad shape ,it's time for u to pitch in to support them to improve the conditions. Remember that's the only NGO attending to sick &amp; injured animals in hyd city as well providing emergency care as well . Kindly discuss with the @pfa_hbad mngt""",b'CSA_Telangana',2020-10-02 19:30:57,fire
14,"b'Hyderabad: TRS emergency meet to discuss strategies for MLC polls @TelanganaCMO,@trspartyonline #KCR #TRS #EmergencyMeet #MLCPolls https://t.co/lX6NF75qgX'",b'TheHansIndiaWeb',2020-10-02 19:26:35,fire
15,"b""@VijayGopal_ @Director_EVDM @CEC_EVDM @GHMCOnline @CommissionrGHMC Anything is possible in ghmc area, every rule can be flouted openly, publicly despite of many responsible employees taking salaries. It's shame if usual fire safety rules are flouted in a big way.""",b'crazyguy00111',2020-10-02 17:41:56,fire
16,b'@VijayGopal_ @Anantnaag @Director_EVDM @CEC_EVDM @GHMCOnline @CommissionrGHMC Clearance from the Fire Department that matters.',b'raghava838',2020-10-02 15:06:54,fire
17,"b""A serious concern, @Director_EVDM n @CEC_EVDM team, apart frm light board on left, ths building has no ventilation, balcony, windows, fire exit, nothing n it's a clothing Store, how cud he open a shop like this? At Secbad clock tower signal. Strange @GHMCOnline @CommissionrGHMC https://t.co/7SNusq5diG""",b'VijayGopal_',2020-10-02 11:00:28,fire
18,b'Emergency \xf0\x9f\x9a\xa8 Need AB+ plasma \xf0\x9f\xa9\xb8plz help me \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb GVNR poulomi hospital As rao nagar contact 9010727266 @hydcitypolice @RachakondaCop @TelanganaDGP @TelanganaCOPs @KTRTRS @Eatala_Rajender',b'VishalGudla1',2020-10-02 10:15:16,fire
19,"b'@Koppulaeshwar1 @trspartyonline @KTRTRS @balkasumantrs Deeni valla Toll roads Musi veyyadam route diversion cheyadam, Toll Aithey vasulu cheyadam. This is Brutally violated the Rules. \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f Yesterday we had faced at #Kalavakurthy At emergency time.'",b'venkykick07gma1',2020-10-02 06:15:44,fire
