,Tweet,User,createdTime,label
0,b'@KTRTRS Your government is playing with students lives and mental health @KTRTRS sir u just playing #askktr https://t.co/6wbfNc8bMg',b'saicharanpadma',2020-10-05 11:41:38,health
1,"b""Telangana state police beating and dragging the students for kphb police station for protesting of cancellation of jntuh exams at jntuh this is so cruel.TRS government doesn't care about students situation and health they only care about exams @KTRTRS @TelanganaCMO https://t.co/n5xhv03TjX""",b'Rammoha77584751',2020-10-05 09:57:14,health
2,b'@TrsHarishNews @trsharish @TelanganaCMO Sir iam Aavula Anjaiah.Consumed Pesticides Of The Cause Of StateWood Of Telangana On Attempt Sucide (11-11-2012.Sunday)My Health is Cooperated To Do Any Work.Collector Nalgonda Enquiry Reports.\xe0\xb0\x85\xe0\xb0\xae\xe0\xb0\xb0\xe0\xb0\xb5\xe0\xb1\x80\xe0\xb0\xb0\xe0\xb1\x81\xe0\xb0\xb2 GO. Ms.80 \xe0\xb0\xaa\xe0\xb1\x8d\xe0\xb0\xb0\xe0\xb0\x95\xe0\xb0\xbe\xe0\xb0\xb0\xe0\xb0\x82.\xe0\xb0\xaa\xe0\xb1\x8d\xe0\xb0\xb0\xe0\xb0\xad\xe0\xb1\x81\xe0\xb0\xa4\xe0\xb1\x8d\xe0\xb0\xb5 \xe0\xb0\x89\xe0\xb0\xa6\xe0\xb1\x8d\xe0\xb0\xaf\xe0\xb1\x8b\xe0\xb0\x97\xe0\xb0\x82 \xe0\xb0\x95\xe0\xb0\xb2\xe0\xb1\x8d\xe0\xb0\xaa\xe0\xb0\xbf\xe0\xb0\x82\xe0\xb0\x9a\xe0\xb0\x82\xe0\xb0\xa1\xe0\xb0\xbf \xe0\xb0\x87\xe0\xb0\xb2\xe0\xb1\x8d\xe0\xb0\xb2\xe0\xb1\x81 \xe0\xb0\x95\xe0\xb1\x82\xe0\xb0\xa1\xe0\xb0\xbe \xe0\xb0\xb6\xe0\xb0\xbf\xe0\xb0\xa5\xe0\xb0\xbf\xe0\xb0\xb2\xe0\xb0\xbe\xe0\xb0\xb5\xe0\xb0\xb8\xe0\xb1\x8d\xe0\xb0\xa5\xe0\xb0\xb2\xe0\xb1\x8b \xe0\xb0\x89\xe0\xb0\x82\xe0\xb0\xa6\xe0\xb0\xbf.\xe0\xb0\xb8\xe0\xb0\xb0\xe0\xb1\x8d https://t.co/kJaFlmkLT2',b'AnjaiahAavula',2020-10-05 09:08:49,health
3,b'@KTRTRS Sir iam Aavula Anjaiah.Consumed Pesticides Of The Cause Of StateWood Of Telangana On Attempt Sucide (11-11-2012.Sunday)My Health is Cooperated To Do Any Work.Collector Nalgonda Enquiry Reports.\xe0\xb0\x85\xe0\xb0\xae\xe0\xb0\xb0\xe0\xb0\xb5\xe0\xb1\x80\xe0\xb0\xb0\xe0\xb1\x81\xe0\xb0\xb2 GO. Ms.80 \xe0\xb0\xaa\xe0\xb1\x8d\xe0\xb0\xb0\xe0\xb0\x95\xe0\xb0\xbe\xe0\xb0\xb0\xe0\xb0\x82.\xe0\xb0\xaa\xe0\xb1\x8d\xe0\xb0\xb0\xe0\xb0\xad\xe0\xb1\x81\xe0\xb0\xa4\xe0\xb1\x8d\xe0\xb0\xb5 \xe0\xb0\x89\xe0\xb0\xa6\xe0\xb1\x8d\xe0\xb0\xaf\xe0\xb1\x8b\xe0\xb0\x97\xe0\xb0\x82 \xe0\xb0\x95\xe0\xb0\xb2\xe0\xb1\x8d\xe0\xb0\xaa\xe0\xb0\xbf\xe0\xb0\x82\xe0\xb0\x9a\xe0\xb0\x82\xe0\xb0\xa1\xe0\xb0\xbf \xe0\xb0\x87\xe0\xb0\xb2\xe0\xb1\x8d\xe0\xb0\xb2\xe0\xb1\x81 \xe0\xb0\x95\xe0\xb1\x82\xe0\xb0\xa1\xe0\xb0\xbe \xe0\xb0\xb6\xe0\xb0\xbf\xe0\xb0\xa5\xe0\xb0\xbf\xe0\xb0\xb2\xe0\xb0\xbe\xe0\xb0\xb5\xe0\xb0\xb8\xe0\xb1\x8d\xe0\xb0\xa5\xe0\xb0\xb2\xe0\xb1\x8b \xe0\xb0\x89\xe0\xb0\x82\xe0\xb0\xa6\xe0\xb0\xbf.\xe0\xb0\xb8\xe0\xb0\xb0\xe0\xb1\x8d https://t.co/JXnL0bxyEs',b'AnjaiahAavula',2020-10-05 09:08:18,health
4,b'@KTRTRS @trsharish @RaoKavitha @TelanganaCMO @MPsantoshtrs @jagadishTRS @BTR_KTR @SmitaSabharwal  Sir iam Aavula Anjaiah.Consumed Pesticides Of The Cause Of StateWood Of Telangana On Attempt Sucide (11-11-2012.Sunday)My Health is Cooperated To Do Any Work.@TheRealHimanshu https://t.co/qCEmNaspMW',b'AnjaiahAavula',2020-10-05 09:05:09,health
5,b'@KTRTRS sir best for health. I started business nd I\xe2\x80\x99m wishing to start with you . \xf0\x9f\x99\x8f\xf0\x9f\x98\x8a https://t.co/hFoaczU4ej',b'farhanfarrus26',2020-10-05 09:02:52,health
6,b'MOST Breast Health issues are BENIGN (non cancerous). The talk focuses on common Myths backed by evidence based Facts explained in simple easy to understand format @DrTamilisaiGuv @TelanganaCMO @jayesh_ranjan @umasudhir @kimshospitals @drharshvardhan @MoHFW_INDIA https://t.co/lu2P0JmhVJ',b'RRPillarisetti',2020-10-05 08:48:56,health
7,b'What a mortification for @TelanganaCMO @TelanganaHealth @Collector_ADB @ts_health  @Eatala_Rajender It is been 6th day of strike. frontline workers (CSN)are pleading for there own salary\xe2\x80\x99s from last 6 months.  https://t.co/gcvx6rRk5o #COVID19 https://t.co/EK21Po5GEO',b'bharathburre',2020-10-05 08:00:17,health
8,"b""We're technical students studying under regulations of@Tssbtet .We will attend exams at any situation.But Officials @SabithaindraTRS @KTRTRS @trspartyonline have to take responsibility of every student health.If you're incapable of taking responsibility cancel exam #tssbtetexams""",b'Chandrashe1404',2020-10-05 07:50:54,health
9,b'@CommissionrGHMC @GHMCOnline @MinisterKTR This is a regular sight in pattigadda lane. Causing severe health hazards and pollution. Pls rectify. https://t.co/yNJwd6nirL',b'hari_pats',2020-10-05 07:19:35,health
10,"b'I kindly request you Sir  to direct the concerned officials to shift the covid testing centre from resiedential area to an isolated place inview of public health and interest. Already a representation is given to Deputy DMHO, miryalaguda and to RDO .@KTRTRS'",b'VenkatReddyAmb2',2020-10-05 07:16:40,health
11,"b'@Mc_Meerpet @KTRTRS Sir, we are resident of Meerpet municipal corporation. We bought flat in 2010, but could not do name change in municipal records due to personal health issues. How much will be the charges if we want to do now.'",b'rangaskumar21',2020-10-05 07:03:31,health
12,b'Union Minister of Health and Family Welfare Dr. Harsh Vardhan -  Corona V... https://t.co/KHu9577CmQ via @drharshvardhan @PIB_India @PIBHyderabad @TelanganaCMO @AndhraPradeshCM @mygovindia @Eatala_Rajender @EATALAOffice @nsitharaman @trsharish @Arvindharmapuri @bandisanjay_bjp',b'ddyadagirinews',2020-10-05 06:35:56,health
13,b'Health problem not diagnosised yet .kindly please help him sir @KTRTRS https://t.co/GuJ1uO8cD0',b'RambabuBodiga',2020-10-05 06:23:51,health
14,b'This link road is imp matter to be considered by @GHMCOnline immediately; keeping interest in health of travellers &amp; avoid accidents because of poor road conditions.  CC : @bonthurammohan @CommissionrGHMC @zckukatpally   Reported by @MeghnaNath for @TheHansIndiaWeb   @NewBolarum https://t.co/e24WyZdi80',b'RohithRao7',2020-10-05 06:17:13,health
15,b'@KTRoffice @KTRTRS residents of Taj Apts wud like 2 bring 2 your notice the health hazards and unhygienic conditions we are subjected 2 due 2 the Main rd line which is historically old and narrow and is loaded with new commercial connection.CAN NO:072100857',b'ApartmentsTaj',2020-10-05 05:12:33,health
16,"b""@SmitaSabharwal @KonathamDileep @jaljeevan_ @TelanganaCMO let's talk about other realities too, what's happening with the primary education, public health and so...""",b'Ashokdanavath',2020-10-05 04:24:28,health
