,Tweet,User,createdTime,label
0,"b""@NallulaHere @DrMethuku @DrRanjithReddy @KTRTRS @coll_vkb @PintoDeepakTNIE @PulseTelangana @revathitweets @KVishReddy Can you please write a complaint on ghmc app and post it on https://t.co/DgPJFrocPQ along with reference number  Idea is  - to create a repository of  procedures to follow for grievances, experiences - to let fellow activists to follow up the issue, if OP doesn't have time""",b'sangha_mitra_',2020-10-04 07:15:46,telecommunication
1,"b""@KTRTRS Don't u think that the network was leaning towards Biden?""",b'Bharat_brains',2020-10-03 05:25:52,telecommunication
2,"b""@KTRTRS @BTR_KTR @JAGANTRS @ysathishreddy  World's Largest Lift Irrigation Project: #kaleshwaram Telangans Lifeline An Engineering Marvel Cost : \xe2\x82\xb980,500 crore Manpower:58454 Water Supply Network:1832 kms Irrigates 37 lakh Acres Benefits Agriculture Industry Fisheries &amp; lot more https://t.co/UB4TnoVDeG""",b'narasimhabegar2',2020-10-03 03:19:07,telecommunication
3,"b""World's Largest Lift Irrigation Project: #Kaleshwaram  Telangana's Lifeline An Engineering Marvel Cost : \xe2\x82\xb980,500 crore Manpower: 58,454 Water Supply Network: 1832 kms Irrigates: 37 lakh Acres Benefits: Agriculture, Industry, Fisheries &amp; lot more @TelanganaCMO @KTRTRS @wef https://t.co/SgHv1MawQ3""",b'Telangana1st',2020-10-03 03:05:00,telecommunication
4,b'@ActivistTeja @cpcybd @cyberabadpolice @psmadhapur_cyb @CYBTRAFFIC @HiHyderabad @CoreenaSuares2 @anusha_puppala @arvindkumar_ias @KTRTRS @ZC_SLP @DonitaJose Just for sake of some likes on social network people are losing their common sense. Hope she is safe &amp; someone might have warned this couple.',b'phanisiluveruk',2020-10-01 17:50:34,telecommunication
5,b'@KTRTRS Please speed up the fiber grid internet work in rural areas.Many thanks in advance sir.',b'Khajamba02',2020-09-30 16:42:47,telecommunication
6,"b'As Naala widening work is in progress, had an on sight inspection with BSNL officer Ramesh garu. Requested him to divert the cables line which is passing through the naala near Arya Kanya School. He assured to solve it soon. Also seen are Gopal anna, residents and locals. @KTRTRS https://t.co/W2JRabDeBL'",b'MamtaManga',2020-09-30 14:58:57,telecommunication
7,b'@BSNLCorporate Is the work still under progress from 2 years @BSNLCorporate &amp; @bsnl_tt &amp;  @DoT_India ?   CC: @manojsinha_ @KTRTRS @KTRoffice @GHMCOnline @CommissionrGHMC @ZC_Secunderabad @TRAI @TarangSanchar https://t.co/J5WefJK0Rb',b'imurnithin',2020-09-30 11:40:01,telecommunication
8,"b""@DoT_India It's a month, is there any update on the work status @DoT_India ?  @BSNLCorporate @bsnl_tt had not started any work from 2 years.   CC: @manojsinha_ @KTRTRS @KTRoffice @GHMCOnline @ZC_Secunderabad @TRAI @TarangSanchar https://t.co/U0vNtth26Z""",b'imurnithin',2020-09-30 10:47:25,telecommunication
9,"b'@KTRTRS  @TelanganaCMO  Good Day Sir, I am trying to reach out to @YESBANK @pk63  multiple time in reference to a refund for excess payment made earlier this month and this bank is not willing to respond to the communications and proof shared with them... Need your help here \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f'",b'Im_yogesh_singh',2020-09-28 17:17:34,telecommunication
10,"b'@GHMCOnline @CommissionrGHMC @KTRTRS @KTRoffice @HiHyderabad @hydcitypolice @WeAreHyderabad illegally inserting the pole for private broadband / telephone and hanging low wires causing affect to vehicles, please intervene @HYDTP @TelanganaCOPs https://t.co/7r8F4nlMu4'",b'ramanpushkar',2020-09-28 12:20:17,telecommunication
11,"b""@KTRTRS  Sir power cuts are more often in Matrusrinagar. Don't know what the problem asked them soany times didnot get a properly reply. We are working from home some times it is really hard for us too manage. And some times mobile network also vl b up and down.please check them#""",b'bobbykomarneni',2020-09-28 05:09:21,telecommunication
12,"b""@BJP4Andhra @narendramodi This project started in 2012 Please go through NOFN/BBNL/DoT/Miety websites @somuveerraju Only Telangana Govt linked both water&amp;Fibre pipes @BJP4Andhra should know this before posting U can't fool us like saying bramaravathi etc @PurandeswariBJP  @KTRTRS @GVLNRAO @Sunil_Deodhar""",b'ExpressChannel7',2020-09-27 08:19:57,telecommunication
13,b'@KTRTRS @KTRoffice  @KTRTRS @KTRoffice please appoint us as outsourcing Engineers (every District  as Engineers.we are maintaining Network and software update and coordinating between Bsnl and Railtel network and with Concern Department officials.  Sir Please kindly persue',b'nagarajuknr69',2020-09-26 15:01:50,telecommunication
14,b'@KTRTRS @KTRTRS @KTRoffice   I am working as Network Engineer karimnagar Dist(District Registrar Engineer)from 2011 to till date under third party company. With low salary',b'nagarajuknr69',2020-09-26 15:00:08,telecommunication
15,"b""@KTRTRS  @KTRTRS  Sir we are students of class 10th , Want's to bring an issue that, We are not understanding any classes in online due to network issue's and some of our friends don't even have smart phones to attend classes and suffering to pay fees.""",b'VIGNAN63885459',2020-09-26 14:46:26,telecommunication
