,Tweet,User,createdTime,label
0,b'@nuts2406 @HiHyderabad @KTRTRS @RaoKavitha @HarithaHaram @Andrew007Uk @D5habib @smileysnaps @noorRBsol @srujanak94 Looks like a Mango tree. \xf0\x9f\x8c\xb3\xf0\x9f\xa5\xad',b'Ilovehyderabad',2020-10-05 11:31:02,environment
1,b'@HiHyderabad @KTRTRS @RaoKavitha @HarithaHaram @Andrew007Uk @D5habib @smileysnaps @nuts2406 @Ilovehyderabad @srujanak94 Was just admiring a tree just like this yesterday. \xf0\x9f\x8c\xb3',b'noorRBsol',2020-10-05 11:16:35,environment
2,b'@HiHyderabad @KTRTRS @RaoKavitha @HarithaHaram @Andrew007Uk @D5habib @smileysnaps @noorRBsol @Ilovehyderabad @srujanak94 How green was my valley!  Is that a mango tree? Beautiful',b'nuts2406',2020-10-05 11:02:30,environment
3,b'@KTRTRS Dear Sir   I work with karvy digikonnect ltd but company not provide last 5 month salary with not deposited last 2 Yr PF pls do the needful please take action appropriate karvy Ltd plant no38 Hyderabad 500032',b'devd15041987',2020-10-05 09:48:58,environment
4,"b""@KTRTRS  good afternoon sir this is Narayana Sharma  we have a house n empty placethree tamarind trees at velpugonda tekamal mandal Medak at present we are not staying there n that house is given to rent that house is on my mother's name but we lost the paper's help is needed sir""",b'Narayan33643724',2020-10-05 09:03:19,environment
5,b'@CommissionrGHMC @GHMCOnline @MinisterKTR This is a regular sight in pattigadda lane. Causing severe health hazards and pollution. Pls rectify. https://t.co/yNJwd6nirL',b'hari_pats',2020-10-05 07:19:35,environment
6,b'@TelanganaPCB @KTRTRS SIFCO INDUSTRY in Nacharam creating huge air pollution  and strong smell. Burning scrap openly. Residents falling sick. Please address https://t.co/Blej4eLQte',b'ADONI77376255',2020-10-05 06:23:53,environment
7,b'@ErikSolheim Wow... @KTRTRS sir you must look into this... Such an opportunity to reduce pollution... Hope you going to initiate this',b'charanS81',2020-10-05 05:08:23,environment
8,"b'@vinay_vangala @dunlop9 @CEC_EVDM @Director_EVDM @arvindkumar_ias @KTRTRS @KonathamDileep @cyberabadpolice GHMC team, Kondapur to Hafeezpet roads on both sides has become prone to Encroachment, illegal parking, frequent drainage flow and debris leading to pollution n unsafe traveling.  Pls check. We can volunteer to join you n take you around if advised.'",b'nsbalakumaran',2020-10-05 04:04:21,environment
9,"b'Requesting sir @CommissionrGHMC @GHMCOnline High voltage wires are inserted along the neem tree and after several requests given to electrical department to cut those branches,there was no action. Trees  are giving sparks,causes earthing .I request to give a permanent solution https://t.co/aT7S7Sp0Pu'",b'VenuGop50883932',2020-10-05 02:40:32,environment
10,b'The garbage point in Alwal has been beautified by planting trees with the help of horticulture and sanitation department. This was a long pending issue faced by the citizens of Ram Nagar and Maruti Nagar.  #GIC  @KTRTRS  @MPsantoshtrs  @GHMCOnline  @zckukatpally https://t.co/LznJuLlxon',b'ChintalaShanti',2020-10-04 15:30:50,environment
11,b'@MinisterKTR @Broadridge @KTRTRS @vlk_laxmikanth Dear Sir   I work with karvy digikonnect ltd but company not provide last 5 month salary with not deposited last 2 Yr PF pls do the needful please take action appropriate karvy Ltd plant no38 Hyderabad 500032',b'devd15041987',2020-10-04 12:43:31,environment
12,b'@MinisterKTR @GHMCOnline Dear Sir   I work with karvy digikonnect ltd but company not provide last 5 month salary with not deposited last 2 Yr PF pls do the needful please take action appropriate karvy Ltd plant no38 Hyderabad 500032',b'devd15041987',2020-10-04 12:42:49,environment
13,b'@KonathamDileep @KTRoffice @KTRTRS Dear Sir   I work with karvy digikonnect ltd but company not provide last 5 month salary with not deposited last 2 Yr PF pls do the needful please take action appropriate karvy Ltd plant no38 Hyderabad 500032',b'devd15041987',2020-10-04 12:42:32,environment
14,b'@PuttaVishnuVR @KTRTRS @TelanganaCMO @MPsantoshtrs @trsharish @RaoKavitha @KonathamDileep @PSReddyTRS @SingireddyTRS @PRRTRS @vinodboianpalli Dear Sir   I work with karvy digikonnect ltd but company not provide last 5 month salary with not deposited last 2 Yr PF pls do the needful please take action appropriate karvy Ltd plant no38 Hyderabad 500032',b'devd15041987',2020-10-04 12:42:15,environment
15,b'@krishanKTRS @swachhhyd @KTRTRS @trsinnews @trspartyonline @KTR_News @MPsantoshtrs @TheRealHimanshu @RaoKavitha @KonathamDileep @BTR_KTR Dear Sir   I work with karvy digikonnect ltd but company not provide last 5 month salary with not deposited last 2 Yr PF pls do the needful please take action appropriate karvy Ltd plant no38 Hyderabad 500032',b'devd15041987',2020-10-04 12:42:01,environment
16,b'@jn_prtk A Self-sufficient village is only solution for many pollution s.Your habit of finding &amp; promoting good citizens certify Ur work. Keep it up. @KTRTRS @arvindkumar_ias',b'madhulikaS2',2020-10-04 11:50:37,environment
17,"b'@PuttaVishnuVR @KTRTRS @TelanganaCMO @MPsantoshtrs @trsharish @RaoKavitha @KonathamDileep @PSReddyTRS @SingireddyTRS @PRRTRS @vinodboianpalli Sounds good bro, this is what we require this is all because of the lockdown only, the air pollution has come down . Will request our TRS govt to follow the lockdown in the city once in a week.Lockdown leads this year rain fall heavy all over and because of telangana harithaharam'",b'KranthiLolugu',2020-10-04 06:20:11,environment
18,"b'@KTRTRS Sir , @Commissionerdu2 @SwachhBharatGov - Throwing away garbage in dustbins\xf0\x9f\x9a\xae is a simple practice to avoid pollution of water bodies and the environment  STOP LITTERING WASTE! Be a responsible citizen. #SaveEnvironment #SaveWater'",b'SantoshReddyVK1',2020-10-04 05:21:10,environment
19,b'@Ilovehyderabad @GreatestArifAli @AjeevV @swachhhyd @GHMCOnline @raziasworld @Ghmc7 @KTRTRS @ASIGoI @Kevin_B_Haynes @TelanganaToday @VictorRao3 I agree  1-  not throw garbage  2- we as a nation should segregate garbage  A. Dry ( paper plus plastic metal glass ) B. Wet  kitchen waste  C. Soiled Diapers etc   3- not spit in public spaces  4- respect water bodies Lakes ocean Learn to respect mountains /Trees/green cover',b'aliyashehzad1',2020-10-04 05:07:08,environment
20,"b'@TelanganaPCB @KTRTRS sir, SIFCO INDUSTRY in Nacharam creating huge air pollution with strong smell. Residents struggling as huge residential locations and schools around. PLEASE DO SOMETHING https://t.co/tUtqYLUCsm'",b'ADONI77376255',2020-10-04 04:27:37,environment
21,"b""@zckukatpally @AEE_KPHBColony @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC Good, but wld have been better if it was real greenery. Pains to see paintings of greenery. It's like having colorful plastic rice and food on your dinner plate. What we need is real plants, creepers, trees and not their paintings on walls.""",b'dunlop9',2020-10-04 02:28:04,environment
22,"b'@KTRTRS @KTRoffice Anna, pls@see life in Nacharam. Huge pollution by SIFCO industry. Lot of residential around. https://t.co/vWRRLe97EV'",b'ADONI77376255',2020-10-04 01:22:35,environment
23,"b""Great work which needs to a lot of \xe0\xb0\x85\xe0\xb0\xaa\xe0\xb1\x8d\xe0\xb0\xaa\xe0\xb1\x8d\xe0\xb0\xb0\xe0\xb1\x80\xe0\xb0\xb8\xe0\xb0\xbf\xe0\xb0\xaf\xe0\xb1\x87\xe0\xb0\xb7\xe0\xb0\xa8\xe0\xb1\x8d as it will promote our citizen's to see the beautiful Leh easily,will increase trade of local vendors due to higher tourist visit &amp; will benefit the environment due to less fuel consumed by1car due to shorten distance \xf0\x9f\x99\x8f @KTRTRS https://t.co/25XLLJf0rj""",b'MSadashivarao',2020-10-03 22:36:21,environment
24,"b'@krishanKTRS @swachhhyd @KTRTRS @trsinnews @trspartyonline @KTR_News @MPsantoshtrs @TheRealHimanshu @RaoKavitha @KonathamDileep @BTR_KTR Are you joking have you visited areas like sainikpuri, jawarhar ngr, Balanagar, Suchitra...lot of polluting industries with no pollution control safty'",b'miright',2020-10-03 20:30:16,environment
25,"b'@DC_Kukatpally @KTRTRS @CommissionrGHMC @zckukatpally @GandhiArekapudi   There is a shop being run in our locality in Hydernager . Welding Shop is being run by some one, which creates lots of noise and pollution where families stay and childrens play. Did GHMC grant permission'",b'Shaikmu85297102',2020-10-03 18:49:36,environment
26,"b'@krishanKTRS @swachhhyd @KTRTRS @trsinnews @trspartyonline @KTR_News @MPsantoshtrs @TheRealHimanshu @RaoKavitha @KonathamDileep @BTR_KTR Please stay in Dammaiguda , Hyderabad for a week. I am sure you would understand how bad a part of Hyderabad is in terms of air and water pollution.'",b'Vishwa15134589',2020-10-03 17:12:27,environment
27,b'@GHMCOnline @KTRTRS @TelanganaCMO @CommissionrGHMC @ZC_Charminar @HMWSSBOnline @arvindkumar_ias @SEElectricGHMC One more on main road...road towards to Aliabad water plant https://t.co/Tj4PuhKFfJ',b'say2nizamuddin1',2020-10-03 14:35:20,environment
28,b'@madhulikaS2 @arvindkumar_ias @CollectorRRD @jn_prtk @SabithaindraTRS @KTRTRS @jayesh_ranjan @moefcc @MoJSDoWRRDGR @HarithaHaram @mygovindia @ZC_SLP Where to get this plant?',b'Ilovehyderabad',2020-10-03 13:48:41,environment
29,b'@madhulikaS2 @arvindkumar_ias @CollectorRRD @jn_prtk @SabithaindraTRS @KTRTRS @jayesh_ranjan @moefcc @MoJSDoWRRDGR @HarithaHaram @mygovindia @ZC_SLP Informative thanks.   https://t.co/tJ2TSgjwHh',b'sbprasadrao',2020-10-03 13:42:34,environment
30,"b'#gmhc Kindly visit and check colonies of City, you can find the lot of trees both sides of roads which are in collapsing stage, you can prevent accidents/damages by cutting the trees branches before it falls on vehicles or people. @GHMCOnline @CommissionrGHMC @karthikpantham'",b'newcommonman',2020-10-03 12:36:56,environment
31,"b'@CYBTRAFFIC @HYDTP @cyberabadpolice @hydcitypolice @cpcybd @CPHydCity @RachakondaCop @KTRTRS @KTRoffice @TelanganaCMO What an idea...using facemask to protect vehicle from pandemic, pollution and police... It is intentional, police must act on-the-spot not just clicking photos... https://t.co/XuOE4lma27'",b'rapaka_daniel',2020-10-03 12:16:53,environment
32,b'@KiranTangirala @TsspdclCorporat @KTRTRS @GHMCOnline I called him twice as expected no response. Someone has to take responsibility of this. We need to have this more organized or a portal were we can raise complaints. #powercut What is the point of cutting trees at the end of rainy season.',b'Bhanu_neo',2020-10-03 11:24:43,environment
33,b'@HYDTraffic @hydcitypolice @KTRTRS this guys keep on beeping even the road is empty and no one come down to remove the vehice they just talk on mike  They dnt understand that we cant bear that noice pollution everyday... Your rules made for public convenience are now hurting them https://t.co/0LV0ZWgr4B',b'hitzvanigota',2020-10-03 10:09:04,environment
34,"b'@Bhanu_neo @KTRTRS @GHMCOnline Dear Sir/Madam, Sorry for the inconvenience caused, tree trimming work is under progress supply will be restored within 1 hour.'",b'TsspdclCorporat',2020-10-03 09:56:43,environment
35,"b'@krishanKTRS @swachhhyd @KTRTRS @trsinnews @trspartyonline @KTR_News @MPsantoshtrs @TheRealHimanshu @RaoKavitha @KonathamDileep @BTR_KTR In a situation where other big cities of India &amp; other countries are planning to install air purifiers/filters to increase oxygen quality, my city has got vast green urban parks to counter air pollution \xf0\x9f\x99\x8f\xf0\x9f\xa4\x97 #ilovebeinghyderabadi'",b'anurag_p2',2020-10-03 09:03:53,environment
36,"b'\xe2\x81\xa6\xe2\x81\xa6@KTRTRS\xe2\x81\xa9 \xe2\x81\xa6@KTRoffice\xe2\x81\xa9  \xe2\x81\xa6@KTRTRS\xe2\x81\xa9 Anna, SIFCO INDUSTRY in Nacharam leaves huge pollution daily to air where lot of schools and residential houses around. It\xe2\x80\x99s suffocating and we are falling sick. CAN YOU PLEASE DO SOMETHING...kids are really facing trouble https://t.co/3talGumykY'",b'ADONI77376255',2020-10-03 07:58:07,environment
37,b'@krishanKTRS @swachhhyd @KTRTRS @trsinnews @trspartyonline @KTR_News @MPsantoshtrs @TheRealHimanshu @RaoKavitha @KonathamDileep @BTR_KTR Cleaner &amp; greener spaces which are making my Hyderabad to stand out as a winner in terms all development aspects compared to other metro cities of INDIA Never thought that Govt will spend time &amp; money on plants &amp; pollution control Deserves an applause \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f',b'imkssk',2020-10-03 06:43:04,environment
38,"b'@TsspdclCorporat Tree cutting on a weekend without a proper intimation, that too hours together? How many tree cuttings you do in a month? Why u guys always give that reason? Or is it really tree cutting? @GHMCOnline'",b'ravicool22',2020-10-03 06:28:07,environment
39,b'@DayakarRao2019 @kcrunofficial @KTRTRS @trspartyonline @TelanganaCMO Tandur Constituency very bad road &amp; pollution to mutch this one also telangana. Where swacha bharath',b'rajrathod993',2020-10-03 05:21:37,environment
40,"b'@krishanKTRS @swachhhyd @KTRTRS @trsinnews @trspartyonline @KTR_News @MPsantoshtrs @TheRealHimanshu @RaoKavitha @KonathamDileep @BTR_KTR Good to see Hyderabad is tackling pollution in the initial stage itself, be it cleaning lakes or plantation drive. Not only hyd, I have seen few new parks have also came up in Warangal as well'",b'sruthikalki',2020-10-03 05:16:14,environment
