,Tweet,User,createdTime,label
0,"b'@MinisterKTR @KTRTRS KTR garu, Appreciating your efforts for safer Hyd city. There is high possibility of dumping waste bags, bottles and food from new Durgam Cheruvu hanging bridge in to Durgam Cheruvu. There are lot of mesquitos around Durgam Cheruvu area, which is spoiling the image of that area.'",b'DBSunkavalli',2020-10-05 11:34:32,solid waste
1,b'@KTRTRS @TelanganaCMO @CPCB_OFFICIAL Please take action against waste management of pharma industry.  Sustainable living system is much needed. Hyderabad Pharma City: A toxic cluster in the making - The New Indian Express https://t.co/HeZok9Lck1',b'akashnakka',2020-10-05 11:10:06,solid waste
2,"b'@DC_Alwal: @GhmcSbm @CommissionrGHMC: @GHMCOnline Sir,  Garbage dumping is fine by few citizens  near Bhudevi Nagar Railway station Entrance. ( Venkatapuram, ALWAL. Pig s \xe0\xb0\xaa\xe0\xb0\x82\xe0\xb0\xa6\xe0\xb1\x81\xe0\xb0\xb2\xe0\xb1\x81 also entering railway station track and get hit by Train. Open defecation also problem in this area.'",b'PharmAnaly',2020-10-05 09:42:40,solid waste
3,"b'@HarshaCheti @BabuNuvuBtechAh @KTRTRS This govt is not interested in safety of the stu, it is waste of our time to tag them and tell our concerns. They will still conduct the exams, no hopes left\xf0\x9f\x98\xa9. If they least concerned about us they would have responded by now! @KTRTRS  @KTRoffice  @TelanganaCMO  @DrTamilisaiGuv'",b'GRaghav9',2020-10-05 08:33:38,solid waste
4,"b""A good road already in condition is damaged to build a new one,what about those 'x' roads which do not have roads but potholes @CommissionrGHMC @GHMCOnline @Director_EVDM @KTRTRS @KTRoffice please don't waste valuable tax money collected #ghmc #durgamcheruvubridge #hyderabad https://t.co/vaQeWfILT1""",b'nikhushboo1504',2020-10-05 07:53:22,solid waste
5,b'@serish @sure23 @KTRTRS This is waste of tax payers money \xf0\x9f\x91\x8e',b'kanchalwar',2020-10-05 07:29:46,solid waste
6,b'Secondary Collection and Transport Points (SCTPs) is a novel initiative by @GHMCOnline to keep our city clean and green with an efficient process in collecting and managing the waste. Commend the officials involved for coming up with such a smart concept. @trspartyonline https://t.co/iE5e7PcbkU',b'DrRanjithReddy',2020-10-05 07:27:10,solid waste
7,b'@CommissionrGHMC  @GHMCOnline I demand commissioner ghmc should take a note of ghmc sweeper were supervisor Nd other officers are not providing kamaten to lift Nd carry garbage of road side in masabtank area.from sarojni Devi hospital to afia plaza .it only female kamati in job',b'GenAimim',2020-10-05 06:32:49,solid waste
8,b'A request to remove garbage from Neknampur lake(GHMC area). Lake is already struggling with regular debris dumping &amp; encroachment.Kindly help. @ZC_Khairatabad @ZC_SLP @arvindkumar_ias @KTRTRS @Collector_HYD  @jn_prtk @tahsildargolco1 @DC_Karwan @DC_Khairatabad @CommissionrGHMC https://t.co/E4zy3YU8GJ',b'madhulikaS2',2020-10-05 03:28:59,solid waste
9,"b'@GHMCOnline @CommissionrGHMC  Municipality workers are not properly lifting garbage Plot 30, Bhaskar Rao Nagar phase II Srinivas 9441293956 SECOND MESSAGE SECOND PHOTO https://t.co/JcW7Xgwj9n'",b'srivsrinivas',2020-10-05 02:10:16,solid waste
10,"b'@GHMCOnline  @CommissionrGHMC  Municipality workers are not lifting garbage Plot 30, Bhaskar Rao Nagar phase II Srinivas  9441293956 https://t.co/Ef25PgjpmL'",b'srivsrinivas',2020-10-05 02:06:00,solid waste
11,b'@KodatiJithen @HiHyderabad @KTRTRS @trsharish @KonathamDileep @MPsantoshtrs @RaoKavitha @balkasumantrs @swachhhyd @bonthurammohan @DrShantaThoutam Can u see that not a single person is with mask? Throwing waste on road and donno how much went into water.. traffic jams.. still u boost about it?',b'loks023',2020-10-05 01:52:09,solid waste
12,b'Secondary Collection and Transport Points: GHMC finds smarter way using SCTP which are designed to manage garbage effectively. GHMC has come up with a smart concept which replaces waste bins and garbage vulnerable points on roads with SCTP @KTRTRS @GHMCOnline @JAGANTRS https://t.co/fp8kT9cwpc',b'sravaneleti',2020-10-05 01:23:53,solid waste
13,"b'@GHMCOnline  Have raised a complaint multiple times regarding demolition waste. But complaint is closed without any resolution. Dear Sir/Madam, Swachh Namaskaram!! We regret the inconvenience caused. Your issue will be resolved shortly. Ref ID : 051020999874 -Team GHMC'",b'sirangikarthik',2020-10-04 18:47:59,solid waste
14,"b'@KodatiJithen @HiHyderabad @KTRTRS @trsharish @KonathamDileep @MPsantoshtrs @RaoKavitha @balkasumantrs @swachhhyd @bonthurammohan @DrShantaThoutam Dustbins are missing can see people littering all around, without it would surely become a garbage point, please look into it'",b'SrinivasBellam',2020-10-04 17:13:01,solid waste
15,"b'Stated throwing waste here also  When will Indians develop If they go out they dont do so, but in India they do  Till when will littering go unpunished?  @KTRTRS https://t.co/WqTSWbe7qk'",b'iam_Agarwal',2020-10-04 17:01:34,solid waste
16,b'The garbage point in Alwal has been beautified by planting trees with the help of horticulture and sanitation department. This was a long pending issue faced by the citizens of Ram Nagar and Maruti Nagar.  #GIC  @KTRTRS  @MPsantoshtrs  @GHMCOnline  @zckukatpally https://t.co/LznJuLlxon',b'ChintalaShanti',2020-10-04 15:30:50,solid waste
17,"b'@MC_Kothagudem @Collector_BDD @KTRTRS municipal auto/tractors are negligence made us to throw the  garbage wherever there is an open space at Ward No:2.  Being a neglecting ward, people with certain influence even constructed a house under tge govt land'",b'Harika41091970',2020-10-04 08:08:52,solid waste
