,Tweet,User,createdTime,label
0,b'#DigitalGuru Time table for Intermediate Education classes. Watch #IntermediateEducation @DDYadagiri  October 6 (Tuesday) from  8 am to 10.30am and 3pm to 6pm.  @TelanganaCMO @TSEduDept @KTRTRS @SabithaindraTRS https://t.co/sEltFoM5LM',b'vramakanth3',2020-10-05 11:06:15,education
1,b'#DigitalGuru Time table for School Education classes. Watch #SchoolEducation @DDYadagiri  October 6 (Tuesday) from  10.30 am to 1pm @TelanganaCMO @TSEduDept @KTRTRS  @SabithaindraTRS https://t.co/mHJzLxTeQm',b'vramakanth3',2020-10-05 11:05:07,education
2,"b'@KTRTRS , sir we as a students in telangana state are protesting regarding our exams cancellation of btech 1,2,3 years.But no one has responded till now about our exams including Education minister and VC of Jntuh. #cancelintermediatesemesterexams #jntuhexams'",b'Reddyrahul45',2020-10-05 09:15:06,education
3,b'Respected @KTRTRS  The official of SSC board of secondary education are not available on time and we were waiting for long time for his signature and time is 11:22....he didnt arrive yet... Kindly take into consideration  @trspartyonline  @TelanganaCMO  @MinisterKTR',b'AnandKU12746926',2020-10-05 05:52:54,education
4,b'@KTRTRS At one side we the Students are facing problems in our education system and want our leader to resolve it but seems like ur quite a lot busy on twitter \xf0\x9f\xa4\x94',b'Vishal55557',2020-10-05 03:28:41,education
5,"b'@Collector_JGN @CS_Telangana @KTRTRS How about the  1. Unemployment 2. Health  3. Education ,'",b'BPRAVEE59810010',2020-10-05 03:00:36,education
6,b'@ActivistTeja @SrinivasBellam @Rupa52329747 @MoosapetDC @zckukatpally @eec23ghmc @Dc21Ghmc @EE_Chandanagar @ZC_SLP @CYBTRAFFIC @arvindkumar_ias @KTRTRS @cpcybd @SEElectricGHMC @HiHyderabad @Nabinder_TOI Been like that since an year. Also that turning is very dangerous. Not just roads we need markings and education to ensure people follow markings. Then only accidents will come down.',b'TDTaskForce',2020-10-04 17:55:36,education
7,"b'Dear @DrRPNishank @EduMinOfIndia . This is the state of education in our country. A minister accepts it on record that extravagant and unregulated fees are a problem, promises to fix it and refuses to do anything on it. @KTRTRS     @KTRoffice you betrayed us on promise. Not Done. https://t.co/72bTxlmm60'",b'sachin_bhutada',2020-10-04 11:27:23,education
8,b'@PuttaVishnuVR @KTRTRS @TelanganaCMO @MPsantoshtrs @RaoKavitha @KonathamDileep @trsharish @PSReddyTRS @telanganafacts @SingireddyTRS @PRRTRS What about jobs brother... students in TS are wandering on roads with degrees. Ultimately education decides the position of the state. Without students no telangana',b'IitianSudhakar',2020-10-04 10:01:50,education
9,b'#DigitalGuru Time table for School Education classes. Watch #SchoolEducation @DDYadagiri  October 5 (Monday) from  10.30 am to 1pm @TelanganaCMO @TSEduDept @KTRTRS  @SabithaindraTRS https://t.co/tbBqNWJSHw',b'vramakanth3',2020-10-04 05:18:26,education
10,b'#DigitalGuru Time table for Intermediate Education classes. Watch #IntermediateEducation @DDYadagiri  October 5 (Monday) from  8 am to 10.30am and 3pm to 6pm.  @TelanganaCMO @TSEduDept @KTRTRS @SabithaindraTRS https://t.co/ruXwRwnypz',b'vramakanth3',2020-10-04 05:17:10,education
11,"b'T673  #SwarnaGopala #Satakam #English Translation    Poem  97  Knowledge dispels ignorance, dark curse and ignorance are similar Education mines knowledge and makes you scholar   - SwarnaGopala   @SrBachchan @auknoor @amogh1010 @urstrulyMahesh @tarak9999 @KTRTRS https://t.co/Xo3kc7bolT'",b'aic369',2020-10-04 04:06:21,education
