,Tweet,User,createdTime,label
0,b'The garbage point in Alwal has been beautified by planting trees with the help of horticulture and sanitation department. This was a long pending issue faced by the citizens of Ram Nagar and Maruti Nagar.  #GIC  @KTRTRS  @MPsantoshtrs  @GHMCOnline  @zckukatpally https://t.co/LznJuLlxon',b'ChintalaShanti',2020-10-04 15:30:50,sanitation
1,b'@nsbalakumaran @ZC_SLP @MDHMWSSB @GHMCOnline Dear citizen Will be attended in coordination with sanitation wing',b'ee_serilingmply',2020-10-04 15:15:07,sanitation
2,"b'@KTRTRS @ZC_SLP @arvindkumar_ias @CommissionrGHMC swachh\xf0\x9f\x99\x8f sir,the team if sanitation cir-20 has attended and penalised one lakh Rupees towards dewatering by vasavi and Gp construction nanakramguda and received the DD. Regards https://t.co/SCRTyNfG7m https://t.co/yQcHwnYRyV'",b'amoh_dr',2020-10-04 04:41:48,sanitation
3,b'@AE_ENTOMOLOGIST @HiHyderabad @ZC_Khairatabad @AC_sanitation @DcGoshamahal @CommissionrGHMC @khairthbadkbz Good to see this. Can we expect this also happen on 8th October as on 9th October students are having the TS Lawcet Entrance Examination CC @Nabinder_TOI @ChiefEntomolgst @AE_Gajulramaram @CEC_EVDM @cdmatelangana @arvindkumar_ias @TSMAUDOnline @GHMCOnline @CommissionrGHMC',b'ActivistTeja',2020-10-03 11:26:10,sanitation
4,b'#NMC sanitation team carrying out the road sweeping activities to keep the city clean. Support our #FRONTLINE Warriors by stopping people from throwing waste in public places. #IndiaFightsCorona  #SwachhBharat  @Collector_NZB @KTRTRS  @arvindkumar_ias @cdmatelangana https://t.co/3xr8VvanRX',b'MC_Nizamabad',2020-10-03 09:47:17,sanitation
5,b'Safe and inclusive sanitation is beyond toilets. It is also about usage and safe mgmt of faecal sludge &amp; greywater (ODF++). Telangana envisions meeting #SDG6 much before the intended target. Setting a benchmark. .@KTRTRS  .@arvindkumar_ias  .@cdmatelangana https://t.co/vz3FJDIQdR',b'Chary_VSC',2020-10-03 03:46:48,sanitation
6,b'Mobile bio-toilets flagged off in Mancherial Collector said extensive sanitation and plantation drives were being held in the district under Swachh Bharat Mission @KTRTRS @TelanganaCMO @NDiwakarRao https://t.co/9xurgowLDN',b'NKB_TRS',2020-10-02 22:22:18,sanitation
7,b'KTR stresses on cleanliness in Bhongir @KTRTRS #KTR #Sanitation #Bhongir https://t.co/OwqfOCOLgJ',b'TheHansIndiaWeb',2020-10-02 19:40:55,sanitation
8,"b'Lions Club, South Hyd Presdnt Balaji garu and his team, distributed quality cloth masks to @GHMCOnline sanitation employees from Gunfoundry division at HVS School. Along with Circle 14 - @DcGoshamahal , @AMOHC14 , ward members, leaders. @KTRTRS @bonthurammohan @CommissionrGHMC https://t.co/17lFiAN8aD'",b'MamtaManga',2020-10-02 18:54:19,sanitation
9,"b""Real tribute to Mahatma Gandhi on his 151st birthday is respecting our sanitation workers - Hon'ble Minister for MAUD @KTRTRS interacted with sanitation workers in Bhongir and felicitated the best performers #SwachchataDivas  @arvindkumar_ias  @cdmatelangana  @PMR0789 https://t.co/zzIuUSdxCe""",b'MC_Bhongir',2020-10-02 12:46:46,sanitation
10,"b'#SwachhBharatDiwas  Attended Video Conference by Secretary, DDWS, Ministry of Jal Shakti, GOI, New Delhi on Swachh Bharat Mission (SBM) \xe2\x80\x93 Gramin and Drinking Water &amp; Sanitation.  @swachhbharat  @TelanganaCMO  @KTRTRS  @Eatala_Rajender  @GKamalakarTRS  @bandisanjay_bjp https://t.co/Iwwj9j1HYG'",b'Collector_KNR',2020-10-02 11:15:27,sanitation
11,b'#bhongir awaits @ktrtrs sir for inaugurating of the sanitation resource park #fstp @MC_Bhongir  @NFSSMalliance  @UrbanMgtASCI @cdmatelangana @Chary_VSC https://t.co/t7Y7Pu4j6o https://t.co/3glDcdGYVe',b'srumits',2020-10-02 04:23:44,sanitation
12,b'#bhongir awaits @ktrtrs for inaugurating the sanitation resource park #fstp @MC_Bhongir  @NFSSMalliance  @UrbanMgtASCI @cdmatelangana @Chary_VSC https://t.co/rB6PIkcFOs',b'malinireddy',2020-10-02 02:47:20,sanitation
13,"b'#NMC Sanitation workers were trained in operational areas of their duties such as Garbage collection (Wet,Dry,Sanitary &amp; Domestic hazardous), Composting etc., Support our #FRONTLINE warriors by stopping people from throwing waste in public areas @arvindkumar_ias @KTRTRS https://t.co/RIdFu2IMJ9'",b'MC_Nizamabad',2020-10-02 02:32:01,sanitation
14,b'Watch Shri K T Rama Rao LIVE | Pattana Pragathi Program Launch in Bhongir - New Initiatives in MA&amp;UD in Sanitation. Join the channel and subscribe to this: https://t.co/J6m2WfCZxJ and the Video will be live @ 10:45 am. @ASCIMEDIA @KTRTRS @malinireddy @Chary_VSC @UrbanMgtASCI',b'InkWash19',2020-10-01 16:55:35,sanitation
15,"b""@KTRoffice @KTRTRS @IKReddyAllola @cdmatelangana State Teacher's Union (STU) NRML Dist express many gratitudes to TS Govt. over  release of MA&amp; UD Dept Memo No 9646  - Sanitation in all the Govt. Schools &amp; Colleges is the responsibility of ULBs  - JUTTU GAJENDER, Dist. President https://t.co/7UB072TFWe""",b'GajenderJuttu',2020-10-01 15:43:25,sanitation
16,b'Massive 87% dip in incidence of dengue cases in #Hyderabad in 2020..!  Only 3 confirmed cases of dengue in Sept2020\xf0\x9f\x98\xb1  @GHMCOnline says @KTRTRS 10mins at 10am on 10Sundays was big success apart from its special sanitation drive  Ahead of #GandhiJayanti GHMC has appeal to people\xf0\x9f\x91\x87 https://t.co/whoSb7q4HE',b'TheNaveena',2020-10-01 15:01:33,sanitation
17,b'#Telangana reinforces its dedication to safe and inclusive urban sanitation. Join the event on 2nd Oct at 10 am:  https://t.co/B8rNCbmldF @KTRTRS @cdmatelangana @arvindkumar_ias @MC_Bhongir @ASCIMEDIA @UrbanMgtASCI @Chary_VSC  @MoHUA_India @SwachhBharatGov https://t.co/xbDTNBB3ht https://t.co/m3E2rd6NNa',b'srumits',2020-10-01 09:59:14,sanitation
18,b'#Telangana reinforces its dedication to safe and inclusive urban sanitation. Join the event on 2nd Oct at 10 am:  https://t.co/rX5nOdqEd2  @KTRTRS @cdmatelangana @arvindkumar_ias @MC_Bhongir @ASCIMEDIA @UrbanMgtASCI @Chary_VSC  @MoHUA_India @SwachhBharatGov https://t.co/CexJ8MTNAY',b'malinireddy',2020-10-01 09:20:17,sanitation
19,b'@aniltruelyurs @NewBolarum @amksocialwork @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL @GHMCOnline @alwalcircle27g1 @SwachhBharatGov @swachhbharat @swachhhyderabad @simhadribolarum @RSReddyMettu1 @VAMSHIK58561716 @DasKuntam @NirmalaHelen @mynampallyh @ChiefEntomolgst Thank you Mr Anil once the colony members are ready i will call you ...',b'rohitb_2727',2020-10-01 07:05:43,sanitation
20,b'@GHMCOnline @KTRTRS @HydTimes how long will you take to ensure hygiene and sanitation is maintained at roadside eataries welcome to Royal Tiffin Center opp Green Mosque Rd No 3 Banjara Hills all plates thrown around #Hyderabad #SwachhBharatMission',b'iiirdi',2020-10-01 06:57:48,sanitation
21,b'@aniltruelyurs @rohitb_2727 @NewBolarum @amksocialwork @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL @GHMCOnline @alwalcircle27g1 @SwachhBharatGov @swachhbharat @swachhhyderabad @simhadribolarum @RSReddyMettu1 @DasKuntam @NirmalaHelen @mynampallyh @ChiefEntomolgst Ok thank you so much',b'VAMSHIK58561716',2020-10-01 05:00:33,sanitation
22,"b'@rohitb_2727 @NewBolarum @amksocialwork @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL @GHMCOnline @alwalcircle27g1 @SwachhBharatGov @swachhbharat @swachhhyderabad @simhadribolarum @RSReddyMettu1 @VAMSHIK58561716 @DasKuntam @NirmalaHelen @mynampallyh @ChiefEntomolgst Sir this is my whatsapp no 8008050356 Plz call me ,  Then we arrange awareness campaign. Colony members support is Very IMP...'",b'aniltruelyurs',2020-10-01 04:59:23,sanitation
23,b'#1stRowPic :  Before Work  #2ndRowPic :  During Work #3rdRowPic  :  After 60% Completion #TankName : Kothacheruvu (Pedharayuni lake) #Circle :  27-Alwal GHMC #Zone :  Kukatpally @KTRTRS @arvindkumar_ias @CommissionrGHMC @Collector_MDL @AC_sanitation @zckukatpally @GHMCOnline https://t.co/JNRnHG2nSt',b'aniltruelyurs',2020-10-01 04:53:46,sanitation
24,b'Fogging operations at various localities in serilingampally Circle.20 @ZC_SLP @DC_Serilingmply @GHMCOnline @CommissionrGHMC @AC_sanitation @KTRTRS @TSMAUDOnline https://t.co/4nQlzF3ufv',b'kiranchetireedy',2020-09-30 16:08:34,sanitation
25,b'@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @amksocialwork @Collector_MDL @AC_sanitation Wounderfull job keep it up \xf0\x9f\x91\x8d',b'MohammedLiaqua4',2020-09-30 09:16:46,sanitation
26,b'@aniltruelyurs @NewBolarum @amksocialwork @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL @GHMCOnline @alwalcircle27g1 @SwachhBharatGov @swachhbharat @swachhhyderabad @simhadribolarum @RSReddyMettu1 @VAMSHIK58561716 @DasKuntam @NirmalaHelen @mynampallyh @ChiefEntomolgst Y not take session for Our colony Shanthinikethan enclaves on Mosquitoes Awareness',b'rohitb_2727',2020-09-30 08:12:53,sanitation
27,"b'@KTRTRS Good morning sir Respected sir, This is to bring to your notice that in 35th division, kadipokonda of greater warangal sanitation is very poor and not collecting  day to day house garbage or atleast no bins are placed in division to put waste. Many times given complaint'",b'janagam_ramana',2020-09-30 06:49:57,sanitation
28,"b'@KTRTRS @DayakarRao2019 Will let you know in upcoming GHMC elections people of Hyderabad will be give you superb verdict be ready sir,  Pathetic ruling in Hyderabad, mainly drainage system, sanitation, roads become ponds by rains etc what not Hyderabad got damaged alot,'",b'Gomatamgomatam',2020-09-30 05:18:19,sanitation
29,"b'@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @amksocialwork @Collector_MDL @AC_sanitation That looks amazing, thank you @GHMCOnline'",b'sreedharch',2020-09-29 17:57:50,sanitation
30,b'@amksocialwork @NewBolarum @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL @GHMCOnline @alwalcircle27g1 @SwachhBharatGov @swachhbharat @swachhhyderabad @simhadribolarum @RSReddyMettu1 @VAMSHIK58561716 @DasKuntam @NirmalaHelen @mynampallyh @ChiefEntomolgst Thanks to you too for your kind cooperation in helping us execute our responsibility.',b'aniltruelyurs',2020-09-29 16:01:10,sanitation
31,b'@NewBolarum @aniltruelyurs @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL @GHMCOnline @alwalcircle27g1 @SwachhBharatGov @swachhbharat @swachhhyderabad @amksocialwork @simhadribolarum @RSReddyMettu1 @VAMSHIK58561716 @DasKuntam @NirmalaHelen @mynampallyh Thanks to team # Entomology Alwal GHMC. Grt job.',b'AcharyAksh',2020-09-29 15:46:58,sanitation
32,b'@RSReddyMettu1 @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL Looking forward for your kind cooperation in executing and conducting more such awareness programmes.',b'aniltruelyurs',2020-09-29 15:42:21,sanitation
33,"b'#SwaccRamagundam #SwachhSurvekshan Conducted a meeting with sanitation workers regarding collection of segregation waste and user charges etc., @KTRTRS @arvindkumar_ias @cdmatelangana @Collector_PDPL https://t.co/MQgEFlm7Pd'",b'MC_Ramagundam',2020-09-29 15:27:06,sanitation
34,b'@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @amksocialwork @Collector_MDL @AC_sanitation Thank GHMC n ZC Mam. But its we public to take care and maintain.',b'AcharyAksh',2020-09-29 14:24:21,sanitation
35,b'@Galibe_vishal @HiHyderabad @ZC_LBNagar @DC_SaroorNagar @HMWSSBOnline @KTRTRS @arvindkumar_ias @GHMCOnline @AC_sanitation @sushilrTOI @NGOKYR @bonthurammohan @ANI @sbmvns @TelanganaCMO @anusha_puppala Wows very nice\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d\xf0\x9f\x91\x8d',b'rathodtrainer',2020-09-29 13:57:40,sanitation
36,b'@NewBolarum @aniltruelyurs @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL @GHMCOnline @alwalcircle27g1 @SwachhBharatGov @swachhbharat @swachhhyderabad @amksocialwork @RSReddyMettu1 @VAMSHIK58561716 @DasKuntam @NirmalaHelen @mynampallyh Thanks to GHMC Entamology Alwal team for the good job done and continue wherever water stagnated points in all colonies of New Bolarum area.',b'simhadribolarum',2020-09-29 12:57:27,sanitation
37,b'@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @amksocialwork @Collector_MDL @AC_sanitation Thanks to GHMC and ZC Mam garu for this amazing and wonderful initiative and request to continue the same in New Bolarum area.',b'simhadribolarum',2020-09-29 12:52:48,sanitation
38,b'@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @amksocialwork @Collector_MDL @AC_sanitation Citizens are thankful to GHMC . Continue the good work',b'DasKuntam',2020-09-29 11:55:11,sanitation
39,"b""@MaheshVchandra @SaveTrimulgher1 @ZC_LBNagar @DC_SaroorNagar @HMWSSBOnline @KTRTRS @arvindkumar_ias @GHMCOnline @AC_sanitation @sushilrTOI @NGOKYR @bonthurammohan @ANI @HiHyderabad @sbmvns @TelanganaCMO @anusha_puppala Please look into this matter @KTRTRS  @TelanganaCOPs @CyberCrimeshyd @CPHydCity @hydcitypolice @SwatiLakra_IPS @trspartyonline @TelanganaCMO @bonthurammohan  it's going wiral in social media @NewsMeter_In @anusha_puppala @AmritadTOI @ActivistTeja @umasudhir @srikhande_umesh https://t.co/ARE2Qw7f3S""",b'Galibe_vishal',2020-09-29 11:41:00,sanitation
40,b'@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @amksocialwork @Collector_MDL @AC_sanitation Daily I used to see people throwing garbage in the vacant land.And a strict action needs to be taken against those persons',b'HarishShaga',2020-09-29 11:11:09,sanitation
41,"b""@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @amksocialwork @Collector_MDL @AC_sanitation People staying in bolaram need to be trained for keeping the premises clean.Every time government won't clean the premises.""",b'HarishShaga',2020-09-29 11:07:27,sanitation
42,b'@MohdomerQureshi @zckukatpally @KTRTRS @asadowaisi tomorrow in co ordination with sanitation wing we will take up cleaning work',b'ae_old',2020-09-29 10:48:51,sanitation
43,b'@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @amksocialwork @Collector_MDL @AC_sanitation Nice \xf0\x9f\x98\x8d\xf0\x9f\x91\x8c\xf0\x9f\x91\x8c\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f',b'kveesam19',2020-09-29 10:27:24,sanitation
44,b'@aniltruelyurs @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL Thank you all team for your awareness program and request you to arrange program like this in other areas also so people will learn and follow your guidelines thank you \xf0\x9f\x99\x8f',b'RSReddyMettu1',2020-09-29 09:40:02,sanitation
45,"b'@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @amksocialwork @Collector_MDL @AC_sanitation That looks amazing, thank you @GHMCOnline .'",b'jp_infinitesoul',2020-09-29 09:38:04,sanitation
46,b'@NewBolarum @aniltruelyurs @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL @GHMCOnline @alwalcircle27g1 @SwachhBharatGov @swachhbharat @swachhhyderabad @amksocialwork @simhadribolarum @VAMSHIK58561716 @DasKuntam @NirmalaHelen @mynampallyh Thank you GHMC Alwal Entomology department \xf0\x9f\x99\x8f',b'RSReddyMettu1',2020-09-29 09:24:01,sanitation
47,b'@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @amksocialwork @Collector_MDL @AC_sanitation Thank you all for very nice initiative \xf0\x9f\x99\x8f',b'RSReddyMettu1',2020-09-29 09:19:28,sanitation
48,"b'@NewBolarum @aniltruelyurs @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL @GHMCOnline @alwalcircle27g1 @SwachhBharatGov @swachhbharat @swachhhyderabad @simhadribolarum @RSReddyMettu1 @VAMSHIK58561716 @DasKuntam @NirmalaHelen @mynampallyh Thanks to our #GHMC @ChiefEntomolgst @aniltruelyurs &amp; team for constant hardwork &amp; regular proactive measures(fogging&amp;spraying),public sessions&amp;campaigns there by drastically reducing the mosquitoes menace in the #NewBolarum area. We are quite thankful for their efforts \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'",b'amksocialwork',2020-09-29 08:56:45,sanitation
49,b'@arvindkumar_ias @CommissionrGHMC @Dc21Ghmc @KTRoffice @GHMCOnline  Sanitation team Chandanagar Cir 21 cleared a Garbage vulnerable point @ Maktha School - wall paintings done too. https://t.co/XA2juayXrM',b'ZC_SLP',2020-09-29 08:56:27,sanitation
50,"b'@NewBolarum @NirmalaHelen @alwalcircle27g1 @zckukatpally @SwachhBharatGov @arvindkumar_ias @KTRTRS @GHMCOnline @TSMAUDOnline @KTRoffice @bonthurammohan @mynampallyh @Director_EVDM @Collector_MDL @AC_sanitation Looks amazing \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd absolutely beautiful, these proactive measures/initiatives will bring positive change in public too \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd Keep up the good work , we are thrilled &amp; quite thankful for the work @zckukatpally A big TQ \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd'",b'amksocialwork',2020-09-29 08:51:14,sanitation
51,b'@aniltruelyurs @KTRTRS @arvindkumar_ias @bonthurammohan @CommissionrGHMC @AC_sanitation @zckukatpally @Collector_MDL #mosquitoes / larva control spl drive done by #Entomology @GHMCOnline #Alwal team in #NewBolarum area by spraying on stagnant water. This helps residents a lot by keeping disease like dengue away. Keep up the good work! Thankyou \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbd\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd @alwalcircle27g1 @zckukatpally https://t.co/yTQA4LWOfN',b'NewBolarum',2020-09-29 07:58:29,sanitation
52,"b'#NMC Sanitation workers were trained in operational areas of their duties such as Garbage collection (Wet,Dry,Sanitary &amp; Domestic hazardous), Composting etc., #SwachhBharat @KTRTRS @arvindkumar_ias @cdmatelangana @Collector_NZB https://t.co/UskChJyeKp'",b'MC_Nizamabad',2020-09-29 03:31:32,sanitation
53,b'@kcprau @PuttaVishnuVR @KTRTRS @TelanganaCMO @MPsantoshtrs @MinisterKTR @trsharish @RaoKavitha @KonathamDileep @bonthurammohan @GHMCOnline @PSReddyTRS True..not because any of govt sanitation improvement..ppl stopped eating outside ..and stopped roaming outside..',b'NithinSingani',2020-09-28 15:53:42,sanitation
54,b'@KTRTRS @KTRoffice @Collector_MDL @mc_dammaiguda .as I complained about sanitation we are unable to understand why fogging not done periodically as we have an open drain and after rains there is a severe problem of mosquitoes.Municipality intrested in collecting taxes',b'vaprasad3',2020-09-28 14:10:02,sanitation
