,Tweet,User,createdTime,label
0,b'National Cyber Security Awareness Month (NCSAM)  #CallSpoofing  @MumbaiPolice @ts_womensafety @TelanganaCOPs @TelanganaDGP @RachakondaCop @SpSolapurRural @cyberabadpolice @hppcybercell @AhmedabadPolice @agrapolice @Uppolice @dgpup @mpcyberpolice @DGP_MP @Dial100_MP #NCSAM2020 https://t.co/0a8qMS5bQY',b'InfoSecAwa',2020-10-05 11:38:54,police
1,b'@aajtak @ABPNews @republic @CNNnews18 Try to show even the South News and Great work by @TelanganaCOPs https://t.co/TpYRYd4dV9',b'mohsin27121988',2020-10-05 11:35:41,police
2,b'@VamshiR64885735 @HYDTP I didn\xe2\x80\x99t say that I am riding bike in India or America .... that was my question  as I am not aware of that. And by the way I know where to drive thanks though.',b'eysureshkumar',2020-10-05 11:35:35,police
3,b'@HYDTP : have any rules changed recently regarding tinted windows on cars? I see many cars plying on the roads with tinted windows. Some luxury cars even have MLA stickers on them',b'RavitejaNV',2020-10-05 11:32:38,police
4,b'@TelanganaCOPs Telangana state police sir please give me one job in driving I am in driver please r i will requested for you I am to interest my job driving',b'SampangiSrisai1',2020-10-05 11:22:47,police
5,"b'I want to thank @HYDTP for their continuous work as responsibility, thank you all of you be safe\xf0\x9f\x98\xb7 @hydcitypolice'",b'Umesh205378',2020-10-05 11:18:50,police
6,b'@IamAmbareesh @AddlCPTrHyd @HYDTP @CYBTRAFFIC @KTRTRS Best thing is Hyderabad police retweeting is senseless tweet. Reminds me of the blind men n \xf0\x9f\x90\x98',b'halwabite',2020-10-05 11:13:50,police
7,b'@AddlCPTrHyd @HYDTP @CYBTRAFFIC Sir have u seen the video or just fwded.  In times of Corona is public gathering s like this required. Would be better if you concentrate on traffic issues and not tourism.',b'halwabite',2020-10-05 11:11:44,police
8,b'@AddlCPTrHyd @HYDTP @CYBTRAFFIC Cable bridge @ Durgam cheruvu became major attraction for the people of twin cities. This is the perfect visiin of KTRTRS sir. Congratulations sir.',b'simhadribolarum',2020-10-05 11:09:10,police
9,b'@AddlCPTrHyd @HYDTP @CYBTRAFFIC Why are people going crazy... pls stop this madness and hype..mid of road taking selfies.',b'Ved17792408',2020-10-05 11:06:56,police
10,b'@oneshreddy @HYDTP @insptr_nampally @AddlCPTrHyd Rule is rule. Rule for all',b'arunkumar286',2020-10-05 11:01:18,police
11,"b""@VamshiR64885735 @HYDTP There's lot of crime going on around us but we cant give verdict on same right. Some other person is assigned to do that. All I am saying this can be very good idea but that should be under a rulebook. And you need to create awareness for the same.""",b'ImPabitraJ',2020-10-05 10:56:11,police
12,"b'@VamshiR64885735 @HYDTP I agree with you bro. I am not saying the intension was to collect money. What you did, I thought the same years back that public can take pictures and upload to portal. But that should be in a rulebook. And need awareness to the public.'",b'ImPabitraJ',2020-10-05 10:54:09,police
13,b'@SpJagtial @TelanganaCOPs @TelanganaDGP Welcome back Mam',b'Bhagvanraj27',2020-10-05 10:52:00,police
14,"b'@SpJagtial @TelanganaCOPs @TelanganaDGP Namaste Madam, so great off u \xf0\x9f\x91\x8d\xf0\x9f\x99\x8f. If u want u would took more holidays, but u think 24/7 off people \xf0\x9f\x91\x8d.'",b'ShattyAmir',2020-10-05 10:36:55,police
15,b'@RachakondaCop @AdibatlaPS @TelanganaDGP @TelanganaCOPs @DCPLBNagar @cyberabadpolice @ACPIBRAHIMPATN1 Sir @RachakondaCop when you are unable to Trace a Vehicle by seeing the Cctv footage then what is the use of giving awareness about the CCtv Cameras. Requesting you to please take a look on my F.I.R. Filled at @lbnagarps @AcpLbNagar @acplbnagar1 https://t.co/Na5fX2LMoL',b'SudheerBudala',2020-10-05 10:30:33,police
16,b'@SpJagtial @TelanganaCOPs @TelanganaDGP Welcome Back Madam...\xf0\x9f\x92\x90',b'VattamRampatel',2020-10-05 10:26:56,police
17,"b'@TelanganaDGP @HYDTP @CYBTRAFFIC @Rachakonda_tfc @hydcitypolice @cyberabadpolice @RachakondaCop @cpwrlc @cp_nizamabad @cpkarimnagar @cpramagundam @MORTHRoadSafety @siddipetcp @KhammamCp @SP_Nalgonda @spsircilla @SpJagtial @spsuryapet @adilabad_sp @spvikarabad @spbhoopalpalli Very true. Drivers fatigue is grossly ignored, if checked can save many lives. Check points 10kms before entering city will help. Inside city all linking roads to be checkpoints.'",b'Hameed38033325',2020-10-05 10:19:26,police
18,b'National Cyber Security Awareness Month (NCSAM)  @MumbaiPolice @ts_womensafety @TelanganaCOPs @TelanganaDGP @RachakondaCop @SpSolapurRural @cyberabadpolice @hppcybercell @AhmedabadPolice @agrapolice @Uppolice @dgpup  @mpcyberpolice @DGP_MP @Dial100_MP #NCSAM2020 https://t.co/2Sw00CU1Ax',b'InfoSecAwa',2020-10-05 10:16:12,police
19,b'@CYBTRAFFIC Is it possible for any vechile to hold same number plate a? After letting know also no challan was generated for the other two Vechles why so? @HYDTP @TelanganaDGP @TelanganaCOPs @RachakondaCop https://t.co/bsSAXlsdav',b'ashwin4asu',2020-10-05 10:10:03,police
20,b'@HYDTP Thank you very much sir. Really would appreciate action on this',b'MohandasAjit',2020-10-05 10:09:08,police
21,b'@AddlCPTrHyd @HYDTP @CYBTRAFFIC And has bought immense risk too..can\xe2\x80\x99t believe that my favourite leaders KCR sir and KTR sir have taken such an irresponsible call at such a sensitive time \xf0\x9f\x92\x94',b'HydwaleMishraji',2020-10-05 10:08:56,police
22,b'@SpJagtial @TelanganaCOPs @TelanganaDGP \xf0\x9f\x92\x90\xf0\x9f\x92\x90\xf0\x9f\x91\x8dmadem',b'Kapil51880784',2020-10-05 10:07:57,police
23,"b'@HYDTP serious traffic and indiscriminate parking problems in Civil Supplies bhavan lane , Somajiguda. Every day we are unable to even get out of home because of someone or the other parking right in front of our gate. Getting in and out of the lane is a nightmare. Who can help? https://t.co/d5KUyrVNAZ'",b'MohandasAjit',2020-10-05 10:02:35,police
24,"b'@TelanganaDGP @TelanganaCOPs @cyberabadpolice @CYBTRAFFIC I noticed that this bus driver was over speeding near Kukatpally metro station, did not enter the bus lane, and rash driving too. Please remind him that he is driving a public bus not a motorcycle. https://t.co/wv1ReHXPHI'",b'bunny3197',2020-10-05 09:51:37,police
25,"b'@cyberabadpolice @TelanganaDGP @TelanganaCOPs   If you ppul r only meant to Dropdown the students voice, then shame on u, u dont deserve to be in d position.Resign uaSelf.  Save students future, Cancel Exams  We are with NSUI @VenkatBalmoor   Police are to work for people not Cm.'",b'shaikghouse1272',2020-10-05 09:45:56,police
26,b'@SpJagtial @TelanganaCOPs @TelanganaDGP All the best madam',b'Vijayracha1982',2020-10-05 09:40:57,police
27,b'Due to this seized car parking traffic is jammed at mozamjahi market. I request @HYDTP to please clear this seized vehicles and get road free flow for vehicles. https://t.co/8o7nxBa7UQ',b'HussainZoman',2020-10-05 09:36:20,police
28,"b'@AddlCPTrHyd @HYDTP @CYBTRAFFIC Such irresponsible people, what the heck they are doing? Dancing in the middle of the toad?'",b'saputrevu24',2020-10-05 09:34:56,police
29,b'@SpJagtial @TelanganaCOPs @TelanganaDGP Well come Medam',b'ShyamShalivaha1',2020-10-05 09:23:01,police
30,b'@SpJagtial @TelanganaCOPs @TelanganaDGP Welcome back madam',b'Chandra16019084',2020-10-05 09:22:11,police
31,b'@CYBTRAFFIC @TelanganaCOPs @cyberabadpolice @IPL @mipaltan @SunRisers @ishankishan51 Thank you Sir',b'thisbulletin',2020-10-05 09:13:35,police
32,"b'@thisbulletin @TelanganaCOPs @cyberabadpolice @IPL @mipaltan @SunRisers @ishankishan51 Sir, we will announce within a week.'",b'CYBTRAFFIC',2020-10-05 09:11:29,police
33,b'@trspartyonline  @TelanganaCMO An #Bsc passed @SabithaindraTRS making random decisons on students lives . And have no idea whats the situation is.  When #students #Unions @nsui @TSNSUI came forward to question  @TelanganaCOPs #lathi #charged without any orders. But why? And how??',b'kalyankn123',2020-10-05 09:04:58,police
34,b'6) Terrorist statements 7) Hurtful statements 8) And anything that would be counter-productive to your overall social media objective.  #Copyright #Objectionable #Untrue #Harmful #HurtfulStatement #HCSC #StopNudity @HYDTP @CPHydCity @AddlCPLOHyd @AddlCPCrimesHyd @CyberCrimeshyd',b'HCSC_Hyd',2020-10-05 09:04:31,police
35,"b""Need ur att'n @CEC_EVDM  Ameerpet Date: 04-10-2020 @Director_EVDM @arvindkumar_ias @KTRTRS @KonathamDileep @cyberabadpolice @HYDTP https://t.co/M70C97cYVr""",b'vinay_vangala',2020-10-05 08:52:26,police
36,"b'@CYBTRAFFIC @TelanganaCOPs @cyberabadpolice @IPL @mipaltan @SunRisers @ishankishan51 When would the results for the Short Video competition be released, Sir? Thank you'",b'thisbulletin',2020-10-05 08:33:01,police
37,b'@AddlCPTrHyd @HYDTP @CYBTRAFFIC Sir Atleast pass orders and put some constables to stop these kind of photos sessions in the middle of the road. From past few days people are not following guidelines while crossing roads and also capturing selfie in the middle of the road',b'nandagopal379',2020-10-05 08:30:09,police
38,b'Today Inspector @AdibatlaPS inaugurated 10 #community  #CC_Camaras at Vantage homes of Turkayamjal Village. By conducting an awareness program to the colony residents they came forward to install the community #CCTV to prevent the #crimes. @TelanganaDGP @TelanganaCOPs @DCPLBNagar https://t.co/c16cYQGbcF',b'RachakondaCop',2020-10-05 08:22:22,police
39,b'No proper wearing of mask not covered his mouth and nose this is how this officer is respecting his profession and responsibilities towards covid @TelanganaCOPs @TelanganaDGP @TelanganaCMO @MinisterKTR @KTRTRS this officer need to get a memo for his mistake and penalised https://t.co/ohmLBhmQVD',b'sreeranavarma',2020-10-05 08:18:39,police
40,b'@TelanganaDGP @HYDTP @CYBTRAFFIC @Rachakonda_tfc @hydcitypolice @cyberabadpolice @RachakondaCop @cpwrlc @cp_nizamabad @cpkarimnagar @cpramagundam @MORTHRoadSafety @siddipetcp @KhammamCp @SP_Nalgonda @spsircilla @SpJagtial @spsuryapet @adilabad_sp @spvikarabad @spbhoopalpalli Remove BARICADS and use speed guns and colact fine lot. Big roads made in HYD but police stop the traffic on roads with  aricads plz remove and use speed guns colact fine on speed vehicle. West our diesel. Corona time no money. PLZ DGP SIR',b'ChoudaryBrahma',2020-10-05 08:18:23,police
41,b'No shoe for the officer at medchal RTO office  @TelanganaCOPs https://t.co/wyP4D9gUZe',b'sreeranavarma',2020-10-05 08:06:35,police
42,b'@hydcitypolice @HYDTP Sir I Have a Video of a minor of 14 Years Driving a Mahindra Scorpio alone everyday morning 6am with his group of friends. I also know his exact address. How should I report him without letting him know I have reported. Please tell. They all have no licenses',b'syedaliasgharra',2020-10-05 08:04:45,police
43,b'No dress code to the officer who is at medchal RTO office  @TelanganaCOPs https://t.co/nXtliUzqaW',b'sreeranavarma',2020-10-05 08:04:07,police
44,b'People parking on roads causing #trafficjams #troopbazar @HYDTP @AddlCPTrHyd @shoabids @CPHydCity @TelanganaDGP need immediately attention https://t.co/czHWSX3kSU',b'LalaniZaheer',2020-10-05 07:44:45,police
45,b'@HYDTP @CYBTRAFFIC @BlrCityPolice Thank you Sir ...',b'Shrikanth567',2020-10-05 07:43:48,police
46,"b""@AddlCPTrHyd @HYDTP @CYBTRAFFIC Sir, it's good to see that the cable bridge is complete. However it makes no sense to visit during these times. To add to that, the lady in the video is standing in the middle of the road to take a picture. That's just stupid.""",b'swapnilmantri23',2020-10-05 07:39:52,police
47,b'National Cyber Security Awareness Month (NCSAM)  @MumbaiPolice @ts_womensafety @TelanganaCOPs @TelanganaDGP @RachakondaCop @SpSolapurRural @cyberabadpolice @hppcybercell @AhmedabadPolice @agrapolice @Uppolice @dgpup @mpcyberpolice @DGP_MP @Dial100_MP #NCSAM2020 https://t.co/zSbC53vxTu',b'InfoSecAwa',2020-10-05 07:37:30,police
48,b'@amjedmbt @HYDTP @hydcitypolice @KTRTRS @KTRoffice &amp; even they have made Medical College to Mouzamjahi market road two way which is resulting in lots of inconvenience.',b'kiraakbaccha',2020-10-05 07:33:54,police
49,"b'@RachakondaCop @TelanganaDGP @cyberabadpolice @TelanganaCOPs @hydcitypolice Guess we had decline from a long time - Sir have even got TIP Award in 2017, all credit to @RachakondaCop and their team\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f'",b'iamVVSS',2020-10-05 07:33:02,police
50,b'@HYDTP @insptr_nampally @AddlCPTrHyd Appreciate you Guys..... Doing a great job\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f',b'NBarpat',2020-10-05 07:25:56,police
51,b'@CPHydCity @CPHydCity @AddlCPCrimesHyd @CyberCrimeshyd @CyberCrimeshyd @TelanganaCOPs @TelanganaDGP  hi sir is there any chance to get the lost money back already I have given complaint in ps and visited to cyber crime hyd ofc sir they have taken details but approx 1month complete no update',b'Mohamma19602653',2020-10-05 07:16:54,police
