,Tweet,User,createdTime,label
0,"b""@Eatala_Rajender @EATALAOffice @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874""",b'SaikatRanchi',2020-10-05 09:58:53,health
1,"b'@AIGHospitals @TelanganaCMO @TelanganaHealth have a surprise visit to the hospital at Gachiwoli. Shocked to see overcrowed lifts, no sanitizer machines or stands anywhere, forget social distancing, and poor management during covid. Govt. Must keep check on such mismanagement'",b'rahulsomanii',2020-10-05 09:34:47,health
2,b'What a mortification for @TelanganaCMO @TelanganaHealth @Collector_ADB @ts_health  @Eatala_Rajender It is been 6th day of strike. frontline workers (CSN)are pleading for there own salary\xe2\x80\x99s from last 6 months.  https://t.co/gcvx6rRk5o #COVID19 https://t.co/EK21Po5GEO',b'bharathburre',2020-10-05 08:00:17,health
3,"b'@Eatala_Rajender @TelanganaHealth Good morning sir . Wellness centre for retaird employees , At Kukatpally  is not supplying medicine for Ret. employees sir   the incharge saying as  the health department is not sending medicines  our hospital because we not supply. Can you want ask the concern departments .'",b'380368f0ef684d4',2020-10-05 08:00:07,health
4,"b""@amjedmbt @TelanganaCMO @TelanganaHealth @Eatala_Rajender please take some action . .  and arrange some dr's in barkas government hospital sir. . .""",b'HafizJameelMj1',2020-10-05 07:53:51,health
5,b'@Eatala_Rajender No general doctor is there in barkas government hospital sir. .  in whole hospital only one Dentist is there. .  please sir take immediate action on this. . patient waiting till 4 hours. . . https://t.co/UOtWSiZavF',b'HafizJameelMj1',2020-10-05 07:50:01,health
6,b'@Collector_MBNR @Eatala_Rajender @VSrinivasGoud @TelanganaCMO @ManneSrinivasR2 @KTRTRS Just came to govt hospital at Gynac nurse said that OP timings are from 9 am to 1pm only. Why timings are restricted in our govt hospital.  Request authorities to cross check and update',b'say2nizamuddin1',2020-10-05 07:33:30,health
7,b'@TelanganaCMO @Eatala_Rajender myGrandmother is suffering from liver infection need to liver transplant it costs 30 lakhs my father-in-law is working as a priest in a temple he can\xe2\x80\x99t afford that much he earns 8k per month we don\xe2\x80\x99t needmoney please provide treatment please respond https://t.co/vw7o14bi27',b'Sachinkrish2',2020-10-05 07:21:12,health
8,"b""@Eatala_Rajender @TelanganaHealth @TelanganaCMO Please extend all possible help including financial help and save life of my ailing brother, Mr. Kaushik Majumdar (51 yrs old) residing in Hyderabad who is suffering from kidney failure and on dialysis. Brother's Cell: 9502008874""",b'SaikatRanchi',2020-10-05 07:00:18,health
9,b'Union Minister of Health and Family Welfare Dr. Harsh Vardhan -  Corona V... https://t.co/KHu9577CmQ via @drharshvardhan @PIB_India @PIBHyderabad @TelanganaCMO @AndhraPradeshCM @mygovindia @Eatala_Rajender @EATALAOffice @nsitharaman @trsharish @Arvindharmapuri @bandisanjay_bjp',b'ddyadagirinews',2020-10-05 06:35:56,health
10,b'@TelanganaCMO @TelanganaHealth @amjedmbt  No general doctor is there in barkas government hospital sir. .  in whole hospital only one Dentist is there. .  please sir take immediate action on this. . patients waiting since 3 hours. . . . https://t.co/psmiMeSSIK',b'HafizJameelMj1',2020-10-05 05:36:34,health
11,b'@TelanganaHealth No general doctor is there in barkas government hospital sir. .  in whole hospital only one Dentist is there. .  please sir take immediate action on this. . https://t.co/swlIqin4ug',b'HafizJameelMj1',2020-10-05 05:31:27,health
12,b'Warangal News: Deworming tablets will be given to children from today  #Albendazole #distribution #children #Anganwadi #Health #Centers  @Eatala_Rajender @Collector_WGLU @MC_GWMC @TSMAUDOnline @MinisterKTR @TrsNarender  @dasyamofficial @ArooriRamesh https://t.co/asMiKmBvDf',b'HiWarangal',2020-10-05 05:08:19,health
13,b'Req \xe2\x81\xa6@DrTamilisaiGuv\xe2\x81\xa9     \xe2\x81\xa6@TelanganaCMO @KTRTRS\xe2\x81\xa9 \xe2\x81\xa6@ts_health \xe2\x81\xa6@TelanganaHealth.Req Help &amp; Action. \xe2\x81\xa9 \xe2\x81\xa6\xe2\x81\xa9                - \xf0\x9d\x97\xa2\xf0\x9d\x98\x80\xf0\x9d\x97\xba\xf0\x9d\x97\xae\xf0\x9d\x97\xbb\xf0\x9d\x97\xb6\xf0\x9d\x97\xae \xe2\x81\xa6\xe2\x81\xa9 \xf0\x9d\x97\x9e\xf0\x9d\x97\xae \xf0\x9d\x97\x9b\xf0\x9d\x97\xae\xf0\x9d\x97\xae\xf0\x9d\x97\xb9 \xf0\x9d\x97\x9a\xf0\x9d\x97\xbc\xf0\x9d\x97\xb9\xf0\x9d\x97\xb1\xf0\x9d\x97\xb2\xf0\x9d\x97\xbb \xf0\x9d\x97\xa7\xf0\x9d\x97\xb2\xf0\x9d\x97\xb9\xf0\x9d\x97\xae\xf0\x9d\x97\xbb\xf0\x9d\x97\xb4\xf0\x9d\x97\xae\xf0\x9d\x97\xbb\xf0\x9d\x97\xae &amp; \xf0\x9d\x97\xa2\xf0\x9d\x98\x82\xf0\x9d\x97\xbf \xf0\x9d\x97\xaa\xf0\x9d\x97\xbc\xf0\x9d\x97\xbf\xf0\x9d\x97\xb8... | Facebook https://t.co/rUFEy9dFL1',b'syedtaraqquadri',2020-10-05 00:56:35,health
14,b'https://t.co/lLrrXZTZTL  Will @TelanganaHealth initiate a sero survey ? Or do we prefer closing our eyes and acting like none of this is happening ?',b'mahiitha24',2020-10-04 22:26:40,health
15,b'@TelanganaHealth @Eatala_Rajender @EATALAOffice Why such rude behaviour by Golconda area hospital staff. They are treating patients like animal no response no humanity. Take a note on this and one more concern why mens are allowed in labour room at Govt maternity hosp petlaburj',b'farooq_ata',2020-10-04 18:50:47,health
16,"b'@fpjindia Hyderabad secunderabad mega city of Hmda needs such details ward wise daily ... for precaustions by ppl cc to @GHMCOnline  plz issue ward wise details, beds ,test centres etc for public health safety daily @Eatala_Rajender @ts_health @KTRTRS @CommissionrGHMC @TV9Telugu @V6News'",b'HydWatch',2020-10-04 17:55:36,health
