,Tweet,User,createdTime,label
0,"b'@GHMCOnline,@KTRTRS,@kp_vivekanand,@musharraf_ias, @arvindkumar_ias,@bonthurammohan Hi sir,  Do we need to submit xerox copies of aadhaar copies of all family members and xerox copies of electricity bill n property tax too?  The officials are visiting houses for registration.'",b'GhouseK77080230',2020-10-05 11:32:04,electricity
1,"b'@TsspdclCorporat Have you guys lost basic humanity? How do you guys even look at mirror?Everyday Powercut in Kondapur. I spoke with AE 9440813168. He\'s telling me ""people don\'t need electricity on weekends, dept can\'t supply"".It seems @GHMCOnline is already aware of it. @KTRTRS'",b'shaldar59',2020-10-03 06:47:55,electricity
2,"b'@KTRTRS SIR, THE SITUATION OF BROKEN &amp; 10 YEARS OLD SEWERAGE LIDS IN REDHILLS, BESIDE HAIDER MEDICAL CENTRE. POLITICAL LEADERS, GHMC LEAST BOTHERED OF BAD ROAD, OLD MAINHOLES &amp; 40YRS OLD ELECTRICITY POLES IN REDHILLS DIVISION, NAMPALLY CONSTITUENCY. PLZ TAKE ACTION. @GHMCOnline https://t.co/BfGYLiRlcr'",b'abid11238504',2020-10-03 02:50:36,electricity
3,"b'@TsspdclCorporat @CommissionrGHMC @GHMCOnline @KTRTRS  Please look at the electric pole with bunch of wires and green creepary. Night time it is covering entire light.  This do the needful before catastrophe.  Location: Matrusrinagar, sector 1, plot 395, near joykids. https://t.co/bURPNdBHuT'",b'Praveen05433476',2020-10-02 12:13:19,electricity
4,"b'@GHMCOnline @TsspdclCorporat @KTRTRS   Hello  There is no electricity in meraj colony , toli chowki usc no 101441674 .plzzz look into this'",b'Areef78042562',2020-10-02 06:51:48,electricity
5,"b'@KTRTRS SIR, THE SITUATION OF SEWERAGE LINES IN REDHILLS, BESIDE HAIDER MEDICAL CENTRE. POLITICAL PARTIES LEADERS AND GHMC LEAST BOTHERED OF BAD ROAD, OLD MAINHOLES &amp; 40 YEARS OLD ELECTRICITY POLES IN REDHILLS DIVISION, NAMPALLY CONSTITUENCY. cc: @GHMCOnline @CommissionrGHMC https://t.co/PQlD9YdF31'",b'abid11238504',2020-10-02 04:14:48,electricity
6,b'@GHMCOnline @CommissionrGHMC sir its more than 11days.. The climebers and branches have engulfed entire electric pole.. Any day it can cause short circuit.. Therr is such a slow response which needd immediate actions.. Ur intereference is highly required @KTRTRS https://t.co/uloG1NbDQ6',b'DevdaGajanand',2020-10-01 04:35:03,electricity
7,"b""@KTRTRS @TsspdclCorporat @GHMCOnline it's raining heavy at KPHB road Number 3 and the electricity poll is sparkling continuously with heavy sound residents are in panic 9010781791 https://t.co/hmXCkA8HTd""",b'Aly68953293',2020-09-30 14:40:10,electricity
8,"b'Today visited MES colony and  Chinna  Rayuni Cheruvu. Noted the issues regarding drain &amp; roads, beautification of the lake and requirement of electric poles.  @KTRTRS  @GHMCOnline @zckukatpally  @DC_Alwal https://t.co/8CtNAkLaFE'",b'ChintalaShanti',2020-09-30 10:06:47,electricity
9,b'@TsspdclCorporat @GHMCOnline @KTRTRS @SEElectricGHMC @CommissionrGHMC @DrRanjithReddy @bonthurammohan @TsspdclCorporat @KTRTRS  Day 2: No update on electric poles after we submitted letter to AE also.',b'SravanK1225',2020-09-30 05:14:34,electricity
10,"b""@TsspdclCorporat @GHMCOnline @KTRTRS @TsspdclCorporat @SEElectricGHMC @GHMCOnline @CommissionrGHMC URGENT! Letter given to AE sir last week on electric poles, still we haven't received any response. Please help us as it's rainy season , getting difficulty to walk/play for old and children in our area. https://t.co/0jpxOAUVWr""",b'SravanK1225',2020-09-29 13:40:05,electricity
11,"b'Nearly 265 houses electricity is being disconnected everymonth at Senthan Green Park, Ameenpur Municipality, Hyderabad Kindly pitch in and take actions. @KTRoffice @KTRTRS @TelanganaCMO @TsspdclCorporat @arvindkumar_ias @SmitaSabharwal @CommissionrGHMC @GHMCOnline https://t.co/reYtnGXX7h'",b'Prasadbonka',2020-09-29 09:10:45,electricity
12,"b'@GHMCOnline Sir, we are suffering from Electricity supply since Morning 4 AM, kids are having online classes. Raised complaints with 100 and called Asmanghd Elementary Dept, they are saying it will be rectified, but no one is attending. My CID 20200007100630, no call from GHMC.'",b'MayurBudha',2020-09-29 03:34:32,electricity
13,"b'@BJP4Telangana @bandisanjay_bjp @yelluganamoni @GHMCOnline @CommissionrGHMC  Watch the pain of this lady, Flood effected colonies in GHMC Gaddiannaram Division . Local authorities &amp; public representative completely failed in providing basic needs like drinking water &amp; electricity https://t.co/aIQzqWqejf'",b'baddamprem',2020-09-28 16:26:55,electricity
