,Tweet,User,createdTime,label
0,"b'@TsspdclCorporat Power cut at Vital Rao Nagar, Hitec City. USC: 100408484  Any ETA on restoration?'",b'VRGTech',2020-10-05 11:37:39,electricity
1,"b'@TsspdclCorporat Its more than 1 hour now, still no power'",b'crazy_gyani',2020-10-05 11:10:13,electricity
2,b'@TsspdclCorporat no power at Kondapur Raghavendra Colony. USC: 110205401  Any ETA on restoration?',b'Chittaranjan',2020-10-05 11:02:37,electricity
3,b'@TsspdclCorporat There is no update yet. Still power cut in my area.',b'jyokumar4u',2020-10-05 10:59:09,electricity
4,b'@TsspdclCorporat Again Power cut from long time. Can you check please.',b'vikram193',2020-10-05 10:47:10,electricity
5,b'@TsspdclCorporat No power since last 2 hours Unique service number: 111537235',b'AshuMohanty02',2020-10-05 10:37:28,electricity
6,b'@TsspdclCorporat Again we lost power at Kondapur 8th battalion we don\xe2\x80\x99t have power USC : 109424484',b'NagubandiSri',2020-10-05 10:34:36,electricity
7,"b'@TsspdclCorporat  there is power off power off in gacchibowli area, Plz restore it soon'",b'SnehaMayra',2020-10-05 10:26:59,electricity
8,b'@TsspdclCorporat no power in hudacolony chandanagar.pls let us know when the power will get restored.',b'Srivats56293381',2020-10-05 10:23:14,electricity
9,"b'@TsspdclCorporat Again no power. I don\xe2\x80\x99t understand why no one is considering this issue. I raised n number of tickets, calls emails but still not even 1% improvement. Please don\xe2\x80\x99t text me foc contact number I already contacted n number of times. Pls  from your end  look into this . Tq!!'",b'vishwanathladdu',2020-10-05 10:21:44,electricity
10,"b'@TsspdclCorporat - No power in Mettuguda again! Issue not resolved, foc not answering the phone USC# 100254069 Cell # 8978524055'",b'crazy_gyani',2020-10-05 10:19:20,electricity
11,b'@TsspdclCorporat There is power cut in my area since 2 hrs. Please update on it. https://t.co/VixloItMok',b'jyokumar4u',2020-10-05 10:12:44,electricity
12,b'@TsspdclCorporat  no power at HUDA COLONY under CHANDANAGAR area. Service no 12005 01741. Mob no 9848381843.',b'bobbysden',2020-10-05 10:02:32,electricity
13,b'@TsspdclCorporat USC 102662595 Budvel Behind RJNR BUS DEPOT. Power shutdown from 45 mins.   #PowerCutHyderabad',b'IngleVarun',2020-10-05 09:59:44,electricity
14,b'@TsspdclCorporat @Tanvi1908 Lost power again in prashanth hills',b'dkchaitanyk',2020-10-05 09:54:15,electricity
15,"b'@TsspdclCorporat Sir, no power at Huda Colony, Chandanagar from past 30 minutes. Please restore it ASAP. USC: 102178590'",b'Sidhart68069074',2020-10-05 09:41:32,electricity
16,b'Unnecessary power cutting @TsspdclCorporat kotur village Shadngr',b'ibrahimkhanTRS2',2020-10-05 09:35:31,electricity
17,"b""@TsspdclCorporat @crazy_gyani Still the issue hasn't been fixed and there's no response from the above mentioned number. Why is the power cut frequently?""",b'Emmanuel_Ross_',2020-10-05 09:30:23,electricity
18,"b""@TsspdclCorporat  we don't have power since two hours . 110341536""",b'ManojKu49243561',2020-10-05 09:30:20,electricity
19,"b""@TsspdclCorporat Hello, everyday in our area power gets cut more than twice and the concerned people don't respond on 9490619734. Could you please fix this? I have old people who rely on oxygen apart from the work that I have to do.""",b'Emmanuel_Ross_',2020-10-05 09:27:37,electricity
20,b'@TsspdclCorporat No power in Whitefields area since morning. I am not able to work.',b'TambakheRohit',2020-10-05 08:56:19,electricity
21,"b'@TsspdclCorporat @D_SudheerReddy @KTRoffice  power cut, please restore. No hope bit still USC 108428750'",b'rajbagayatkar',2020-10-05 08:36:52,electricity
22,"b'@TsspdclCorporat @TsspdclCorporat Team any update, still power cut in Sri Ram Nagar Colony, Puppalguda, Manikonda, Hyderabad, Telangana 500089. Can you please update'",b'kiranmadari',2020-10-05 08:33:36,electricity
23,"b'@TsspdclCorporat @MinisterKTR @KTRTRS @GHMCOnline @CommissionrGHMC Hi @TsspdclCorporat the lineman said about 30 minutes ago that they are done and are turning the power back on, but still no power here. Please look into this asap.'",b'theja08',2020-10-05 08:11:40,electricity
24,b'@TsspdclCorporat power cut since one hour in Janachaitanya Colony Phase 2 - Upparpally. USC - 110986919. FOC says it will take at least 3 more hours. Why so many issues in this area? Please look into this asap. @MinisterKTR @KTRTRS @GHMCOnline @CommissionrGHMC',b'theja08',2020-10-05 07:42:41,electricity
25,"b'@TsspdclCorporat No power from 12 pm, when will we get?  USC NO:101503097'",b'Nagajyo98920508',2020-10-05 07:41:16,electricity
26,"b""@TsspdclCorporat Could you help take action, isn't there a permanent solution for the overload/fuse off issue. Every other day this frequent power on off is damaging costly home appliances.""",b'getwasey',2020-10-05 07:38:13,electricity
27,"b'@TsspdclCorporat no power at Attapur , usc 100832317 mobile 9533947284'",b'Harishkt2606',2020-10-05 07:25:48,electricity
28,"b'@TsspdclCorporat power cut in tejaswi nagar colony, attapur. USC : 100830286 When will it be restored? Plz look into it as we are working from home..'",b'Manoj_Jashti',2020-10-05 07:23:52,electricity
29,b'@TsspdclCorporat Dear there is a power cut in Kondapur Jagruthi colony area. could you please look into it.',b'vikram193',2020-10-05 07:07:10,electricity
