,Tweet,User,createdTime,label
0,"b'Drainage water over flowing since many days. Hasmathpet road, near Fatima masjid, near New kalanjali apartment. Bowenpally @VP_SCB @GHMCOnline https://t.co/DPnlSkmoxS'",b'SocialsPanda',2020-10-05 09:51:28,water
1,b'@harishchidiri @GHMCOnline @TelanganaCMO Ghoram ga unnai City lo roads. Malli water logging okati. \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',b'crazyhinduu',2020-10-05 09:17:06,water
2,b'6 days have passed and no one is ready to take responsibility to take further action. Complaints going unnoticed. Fearing for water borne diseases. Unbearable stench coming from the drain. @GHMCOnline @DC_RajendraNgr @KTRTRS @KTRoffice @CommissionrGHMC https://t.co/BtLyc5T7iA',b'Mohamme84572631',2020-10-05 07:38:27,water
3,"b'@GHMCOnline @CommissionrGHMC @KTRTRS  Pincode-500091 Radha nagar-street no.1- suncity.We have a land dug, full of water and unattended by one which has turned out to be haven for mosquitoes and other insects which is a potential trigger for dengue and other viruses. https://t.co/wkkfM02Phn'",b'k0ron',2020-10-05 02:56:55,water
4,b'@HMWSSBOnline @DC_Serilingmply @GHMCOnline @CommissionrGHMC @Hmwssbdgmchdngr @hmwssbgmom15 @hmwssbmgrchdngr @GHMCOnline @jagadishvcorp @DC_Serilingmply @V6News @TV9Telugu the drainage water is getting stagnant and is now becoming like a pond. Kindly get this cleared on priority. I was told that new pipeline will resolve this issue permanently.',b'GRaghuveer',2020-10-05 02:00:01,water
5,"b'@GHMCOnline @CommissionrGHMC Huge amount of water being pumped from basement of MPR Complex, Survey Colony, Uppal (Next to Indian Overseas Bank &amp; opposite to HMR Sump &amp; Pump Room) on to the Ring Road.  Please take action. https://t.co/NA89VSGA2Y'",b'K_P_Rao',2020-10-04 10:01:59,water
6,b'@Ilovehyderabad @GreatestArifAli @AjeevV @swachhhyd @GHMCOnline @raziasworld @Ghmc7 @KTRTRS @ASIGoI @Kevin_B_Haynes @TelanganaToday @VictorRao3 &amp;  The \xc2\xa0Water hyacinth that take over the lakes  The public cannot clean it !!! The infrastructure should be made by the government  The strict rules should be made by the government  The public should follow  If they not follow heavy fine  Eg the cleaning process of Singapore',b'aliyashehzad1',2020-10-04 09:34:30,water
7,"b'Dear Sir, @HMWSSBOnline Heavy Overflowing Water at Bairamalguda Flyover, KKR Garden kaman, Sagar Enclave, LB Nagar,  Cc to @GHMCOnline  My Number 9652360148 https://t.co/3SkbE8bb0c'",b'rkvadlamudi81',2020-10-04 05:56:14,water
8,b'@Ilovehyderabad @GreatestArifAli @AjeevV @swachhhyd @GHMCOnline @raziasworld @Ghmc7 @KTRTRS @ASIGoI @Kevin_B_Haynes @TelanganaToday @VictorRao3 I agree  1-  not throw garbage  2- we as a nation should segregate garbage  A. Dry ( paper plus plastic metal glass ) B. Wet  kitchen waste  C. Soiled Diapers etc   3- not spit in public spaces  4- respect water bodies Lakes ocean Learn to respect mountains /Trees/green cover',b'aliyashehzad1',2020-10-04 05:07:08,water
9,b'@CIVILKHAN1 @CPHydCity @CEC_EVDM @Director_EVDM @CommissionrGHMC @arvindkumar_ias @KTRTRS @GHMCOnline @glasyananditha @MutaGopal @MutaJaisimha @theleader_raj @karnalaxmi @KTRoffice @KTR_News @HYDTP @AddlCPTrHyd Still like that roads its grt to say abt our officals ...?  Hyderabad traffic  police  is failure to do work .just lower tank bund every day vechiles park on road not even leave foot path to walk ..water service sation on road  ...? Lower tank bund',b'Prasath65203323',2020-10-04 02:28:31,water
10,b'@CommissionrGHMC @GHMCOnline  Sir for a three year old property how do we know that if PTIN number exist or not. If it does not exist than how do we apply for PTIN number and pay property tax quickly. The owner is less aware about it. Please find the water and elec bill https://t.co/Wvvpvl977z',b'Abhishe24430249',2020-10-03 19:14:42,water
11,b'@GHMCOnline @KTRTRS @TelanganaCMO @CommissionrGHMC @ZC_Charminar @HMWSSBOnline @arvindkumar_ias @SEElectricGHMC One more on main road...road towards to Aliabad water plant https://t.co/Tj4PuhKFfJ',b'say2nizamuddin1',2020-10-03 14:35:20,water
12,b'@CommissionrGHMC @hmwssbdgmalwal @HMWSSBOnline @GHMCOnline  Heavy Drainage water leakage at Main road Near Mangapuran Colony Old Alwal since 20 days . No action from the concerned department. People are facing issues while passing on this roads https://t.co/rKt7LDUrBv',b'kotikabharghav',2020-10-03 07:45:40,water
13,b'#cleanWestMarredpallydrainage @GHMCOnline @CommissionrGHMC the Quarters r full Of senior citizens - no help in sight despite several complains! Please send someone immediately to get the drains unclogged - the dirty water is kicking into the adjacent houses too @KTRTRS',b'sprasadita',2020-10-03 07:28:22,water
14,"b'@GHMCOnline @HMWSSBOnline @KTRTRS  RK Nagar ,stno:3, Hno 23-22,Malkajgiri,Since last 5 days trying to get help for drainage cleaning. but very unfortunate water works and Ghmc pushing the blame on each other,Problem drainage water coming inside our house.'",b'balajikalyana',2020-10-03 06:46:36,water
15,b'@anilbatchu @sravaneleti @KTRTRS @JAGANTRS @trspartyonline @trsinnews @MinisterKTR @GHMCOnline @bonthurammohan @BTR_KTR All that needs to happen is we need to divert the gangajal pure water that was used to sanitize Osmania Hospital into Hussain Sagar. We might need to implement a lift irrigation project in Hyderabad. Where is that Kaleswaram contractor when you need him?',b'krisphant',2020-10-03 06:32:57,water
16,"b""@KTR_News @KTRoffice @KTRTRS @GHMCOnline @CommissionrGHMC Hi KTR Sir , Good Day..!! The drainage/rain water still continue flowing after 2 days of raining . In our colony around 200+ family's are staying. Please help us sir \xf0\x9f\x99\x8f.  Thank you""",b'RajeshK91462462',2020-10-03 06:27:42,water
17,"b'@sravaneleti @KTRTRS @JAGANTRS @trspartyonline @trsinnews @MinisterKTR @GHMCOnline @bonthurammohan @BTR_KTR You know when elections are coming by looking at positive news (not real but may happen in ideal world) in newspapers. This art is mastered by TRS, fed up of news of cleaning of Hussian sagar, 100 Storey buildings around tank bund, coconut water like quality of hussain sagar.'",b'anilbatchu',2020-10-03 05:01:43,water
18,"b'@HMWSSBOnline @ZC_LBNagar @GHMCOnline @HiHyderabad @D_SudheerReddy @KTRTRS @trspartyonline Sir we are facing Water problem since two months but nobody is responding. Please solve our problem. We are paying water bill on time. Address: street no 4, Kranthi nagar, Karmanghat.'",b'Raghu25207711',2020-10-03 03:59:21,water
19,b'Pristine Hussain Sagar Soon   HMDA planning to install \xe2\x80\x98Boom Barrier\xe2\x80\x99 to prevent floating trash into the water body.  https://t.co/5VHYwXbQMe   @KTRTRS @arvindkumar_ias @HMDA_Gov @GHMCOnline @ZC_Khairatabad @swachhhyd https://t.co/rzDxJsPBqn',b'HiHyderabad',2020-10-03 03:01:06,water
20,b'@CRMPBSCPL @HMWSSBOnline @GHMCOnline @CommissionrGHMC @ZC_LBNagar @KTRTRS @MDHMWSSB @BollineniMalli2 @CEMaint_GHMC @DC_Kapra @Dc_Ghmc @DC_Hayathnagar @DC_LBNagar @saroornagar_dc Thank-you @CRMPBSCPL for bringing this. This has been problem since ages in WZ also &amp; ownership of the restoration after road cutting &amp; repairs was never their priority by water works &amp; other agencies &amp; citizens have to plead for it. Convergence meets for a task is out of order.',b'asinha',2020-10-03 02:56:49,water
21,b'Boom barrier: Another step to make Hussain Sagar pristine HMDA planning to install \xe2\x80\x98boom barrier\xe2\x80\x99 to prevent floating trash into the water body @KTRTRS @TelanganaCMO @GHMCOnline @bonthurammohan https://t.co/4wnB05ftLx',b'NKB_TRS',2020-10-02 22:14:48,water
22,b'@HMWSSBOnline @DC_Serilingmply @GHMCOnline @CommissionrGHMC @Hmwssbdgmchdngr @hmwssbgmom15 @hmwssbmgrchdngr Although your team came and cleared twice but all in vain. Now the water getting stagnant and I hope you are aware of the repercussions! Requesting you to give a permanent solution to avoid further damage. https://t.co/ZYCtYMseh9',b'GRaghuveer',2020-10-02 18:52:05,water
23,"b'@HMWSSBOnline @KTRTRS @GHMCOnline We are getting municipal water on alternative days after 10pm, sometimes even at midnight at 12. Request you to release water before 8pm.Area- Indiranagar, Jiyaguda.'",b'SrikanthDyapa23',2020-10-02 16:38:17,water
24,"b'@bonthurammohan @DrTamilisaiGuv @TelanganaCMO @KTRoffice @MinisterKTR @KTRTRS @CommissionrGHMC @GHMCOnline @bonthurammohan  Sir, Sewage water is coming out from the earth now. Please do something about it. Thanks in advance. https://t.co/HvvIbKVRP3'",b'AdamEvesFamily',2020-10-02 16:07:26,water
25,"b""@YaseenMIM @imAkbarOwaisi @SabithaindraTRS @HmwsbDgmBalapur @BalapurPS @GHMCOnline @CommissionrGHMC @bonthurammohan @Babafasiuddin @AimimJalpally Sir.. it's been 8 days .. this society is in this dirty smell and drainage water. Just opposite home there is a baby girl taken birth before 15 days. Small infants are there in this area. Small kids facing health issues. Please help.. Allah me waaste please help. https://t.co/Krv41DzDjA""",b'SRKapadia7',2020-10-02 14:37:33,water
26,b'@YaseenMIM @imAkbarOwaisi @SabithaindraTRS @HmwsbDgmBalapur @BalapurPS @GHMCOnline @CommissionrGHMC @bonthurammohan @Babafasiuddin @AimimJalpally Even water is continuously coming from near by venture as they have broken the wall and passing all water in this venture. Plesse help us .. https://t.co/DL9nBxHLAl',b'SRKapadia7',2020-10-02 14:32:53,water
27,"b'@YaseenMIM @imAkbarOwaisi @SabithaindraTRS @HmwsbDgmBalapur @BalapurPS @GHMCOnline @CommissionrGHMC @bonthurammohan @Babafasiuddin @AimimJalpally \xf0\x9f\x99\x8fPlease help \xf0\x9f\x99\x8fVery bad situation past 8 days in Metro City Phase IV, Balapur, Hyd. Area full filled with flood water. Now it getting more dirty &amp; stinky. no one has attended complaint or shown response to remove flood water. Children facing health problem &amp; parents are in pain. https://t.co/TY2HwdzJRP'",b'SRKapadia7',2020-10-02 14:17:48,water
28,"b'@KTRoffice @MinisterKTR @KTRTRS @CommissionrGHMC @GHMCOnline @bonthurammohan  Sir, Sewage water is coming out from the earth now. Please do something about it. Thanks in advance. https://t.co/zX57CkwGeX https://t.co/HvvIbKVRP3'",b'AdamEvesFamily',2020-10-02 10:10:26,water
