,Tweet,User,createdTime,label
0,"['drainag', 'water', 'flow', 'sinc', 'mani', 'day', 'hasmathpet', 'road', 'near', 'fatima', 'masjid', 'near', 'new', 'kalanjali', 'apart', 'bowenp']",b'SocialsPanda',2020-10-05 09:51:28,water
1,"['ghoram', 'ga', 'unnai', 'citi', 'lo', 'road', 'malli', 'water', 'log', 'okati']",b'crazyhinduu',2020-10-05 09:17:06,water
2,"['6', 'day', 'pass', 'one', 'readi', 'take', 'respons', 'take', 'action', 'complaint', 'go', 'unnot', 'fear', 'water', 'born', 'diseas', 'unbear', 'stench', 'come', 'drain']",b'Mohamme84572631',2020-10-05 07:38:27,water
3,"['pincode-500091', 'radha', 'nagar-street', 'no.1-', 'suncity.w', 'land', 'dug', 'full', 'water', 'unattend', 'one', 'turn', 'mosquito', 'insect', 'potenti', 'trigger', 'dengu', 'virus']",b'k0ron',2020-10-05 02:56:55,water
4,"['drainag', 'water', 'get', 'stagnant', 'becom', 'like', 'pond', 'kindli', 'get', 'clear', 'prioriti', 'told', 'new', 'pipelin', 'resolv', 'issu', 'perman']",b'GRaghuveer',2020-10-05 02:00:01,water
5,"['huge', 'amount', 'water', 'pump', 'basement', 'mpr', 'complex', 'survey', 'coloni', 'uppal', 'next', 'indian', 'oversea', 'bank', 'amp', 'opposit', 'hmr', 'sump', 'amp', 'pump', 'room', 'ring', 'road', 'pleas', 'take', 'action']",b'K_P_Rao',2020-10-04 10:01:59,water
6,"['amp', 'water', 'hyacinth', 'take', 'lake', 'public', 'clean', 'infrastructur', 'made', 'govern', 'strict', 'rule', 'made', 'govern', 'public', 'follow', 'follow', 'heavi', 'fine', 'eg', 'clean', 'process', 'singapor']",b'aliyashehzad1',2020-10-04 09:34:30,water
7,"['dear', 'sir', 'heavi', 'overflow', 'water', 'bairamalguda', 'flyover', 'kkr', 'garden', 'kaman', 'sagar', 'enclav', 'lb', 'nagar', 'cc', 'number', '9652360148']",b'rkvadlamudi81',2020-10-04 05:56:14,water
8,"['agre', '1-', 'throw', 'garbag', '2-', 'nation', 'segreg', 'garbag', 'a.', 'dri', 'paper', 'plu', 'plastic', 'metal', 'glass', 'b.', 'wet', 'kitchen', 'wast', 'c.', 'soil', 'diaper', 'etc', '3-', 'spit', 'public', 'space', '4-', 'respect', 'water', 'bodi', 'lake', 'ocean', 'learn', 'respect', 'mountain', '/trees/green', 'cover']",b'aliyashehzad1',2020-10-04 05:07:08,water
9,"['still', 'like', 'road', 'grt', 'say', 'abt', 'offic', '...', 'hyderabad', 'traffic', 'polic', 'failur', 'work', '.just', 'lower', 'tank', 'bund', 'everi', 'day', 'vechil', 'park', 'road', 'even', 'leav', 'foot', 'path', 'walk', '..water', 'servic', 'sation', 'road', '...', 'lower', 'tank', 'bund']",b'Prasath65203323',2020-10-04 02:28:31,water
10,"['sir', 'three', 'year', 'old', 'properti', 'know', 'ptin', 'number', 'exist', 'exist', 'appli', 'ptin', 'number', 'pay', 'properti', 'tax', 'quickli', 'owner', 'less', 'awar', 'pleas', 'find', 'water', 'elec', 'bill']",b'Abhishe24430249',2020-10-03 19:14:42,water
11,"['one', 'main', 'road', '...', 'road', 'toward', 'aliabad', 'water', 'plant']",b'say2nizamuddin1',2020-10-03 14:35:20,water
12,"['heavi', 'drainag', 'water', 'leakag', 'main', 'road', 'near', 'mangapuran', 'coloni', 'old', 'alwal', 'sinc', '20', 'day', 'action', 'concern', 'depart', 'peopl', 'face', 'issu', 'pass', 'road']",b'kotikabharghav',2020-10-03 07:45:40,water
13,"['quarter', 'r', 'full', 'senior', 'citizen', 'help', 'sight', 'despit', 'sever', 'complain', 'pleas', 'send', 'someon', 'immedi', 'get', 'drain', 'unclog', 'dirti', 'water', 'kick', 'adjac', 'hous']",b'sprasadita',2020-10-03 07:28:22,water
14,"['rk', 'nagar', 'stno:3', 'hno', '23-22', 'malkajgiri', 'sinc', 'last', '5', 'day', 'tri', 'get', 'help', 'drainag', 'clean', 'unfortun', 'water', 'work', 'ghmc', 'push', 'blame', 'problem', 'drainag', 'water', 'come', 'insid', 'hous']",b'balajikalyana',2020-10-03 06:46:36,water
